序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-31 23:00:00,5.2926,450000.0,2025-02-01 02:00:00,5.214825,443387.23,85024.37365378,-6612.7707,-1.4695,阶段低点止损,3,否
2,OMUSDT,2025-02-05 05:00:00,5.8035,447024.25,2025-02-05 05:00:00,5.738535,442020.22,77026.66549541,-5004.0373,-1.1194,阶段低点止损,0,否
3,OMUSDT,2025-02-05 21:00:00,5.7616,444772.44,2025-02-05 23:00:00,5.68656,438979.65,77195.99354464,-5792.7874,-1.3024,阶段低点止损,2,否
4,OMUSDT,2025-02-08 06:00:00,5.9754,442165.68,2025-02-08 09:00:00,5.9867,443001.86,73997.67079975,836.1737,0.1891,MA5上升后止损,3,否
5,OMUSDT,2025-02-11 00:00:00,6.084,442541.96,2025-02-11 07:00:00,6.0714,441625.45,72738.65224405,-916.507,-0.2071,MA5上升后止损,7,否
6,TAOUSDT,2025-02-11 07:00:00,385.8,442424.12,2025-02-11 07:00:00,381.546,437545.76,1146.7706678,-4878.3624,-1.1026,阶段低点止损,0,否
7,PROMUSDT,2025-02-11 11:00:00,5.675,439934.27,2025-02-11 11:00:00,5.59944,434076.75,77521.45709343,-5857.5213,-1.3315,阶段低点止损,0,否
8,TFUELUSDT,2025-02-11 13:00:00,0.05225,437298.38,2025-02-11 14:00:00,0.052915,442864.0,8369347.0702612,5565.6158,1.2727,MA5首次上升止损,1,否
9,TNSRUSDT,2025-02-11 18:00:00,0.3468,439802.91,2025-02-11 21:00:00,0.342639,434526.04,1268174.48538617,-5276.874,-1.1998,阶段低点止损,3,否
10,HOOKUSDT,2025-02-11 19:00:00,0.1996,439289.3,2025-02-11 21:00:00,0.197109,433806.99,2200848.20072817,-5482.3129,-1.248,阶段低点止损,2,否
11,THEUSDT,2025-02-11 23:00:00,0.5248,436103.69,2025-02-12 02:00:00,0.516285,429027.8,830990.25428835,-7075.882,-1.6225,阶段低点止损,3,否
12,IQUSDT,2025-02-11 22:00:00,0.005654,434961.28,2025-02-12 03:00:00,0.00559548,430459.34,76929833.29079516,-4501.9338,-1.035,阶段低点止损,5,否
13,MOVRUSDT,2025-02-12 03:00:00,7.424,429838.5,2025-02-12 06:00:00,7.533,436149.44,57898.50467677,6310.937,1.4682,MA5首次上升止损,3,否
14,OGUSDT,2025-02-12 07:00:00,3.682,437152.0,2025-02-12 10:00:00,3.7155,441129.35,118726.77937328,3977.3471,0.9098,MA5首次上升止损,3,否
15,TAOUSDT,2025-02-12 11:00:00,403.3,443721.9,2025-02-12 12:00:00,397.881,437759.76,1100.22786446,-5962.1348,-1.3437,阶段低点止损,1,否
16,ADXUSDT,2025-02-12 13:00:00,0.1524,442880.81,2025-02-12 14:00:00,0.150183,436438.11,2906042.03790795,-6442.6952,-1.4547,阶段低点止损,1,否
17,SUSDT,2025-02-12 04:00:00,0.4405,429282.28,2025-02-12 18:00:00,0.4636,451794.02,974534.12576964,22511.7383,5.244,MA5下跌破线,14,否
18,LISTAUSDT,2025-02-12 15:00:00,0.2651,440113.16,2025-02-12 21:00:00,0.2757,457711.04,1660177.8794607,17597.8855,3.9985,MA5首次上升止损,6,否
19,OGUSDT,2025-02-12 19:00:00,3.684,454916.61,2025-02-12 21:00:00,3.6995,456830.62,123484.42178649,1914.0085,0.4207,MA5首次上升止损,2,否
20,IDEXUSDT,2025-02-13 00:00:00,0.04358,447709.45,2025-02-13 00:00:00,0.0430749,442520.42,10273277.86161566,-5189.0326,-1.159,阶段低点止损,0,否
