序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 01:00:00,5.2591,400000.0,2025-02-01 01:00:00,5.2525,399498.01,76058.64121237,-501.987,-0.1255,阶段低点止损,0,否
2,OMUSDT,2025-02-05 06:00:00,5.7135,399799.21,2025-02-05 13:00:00,5.8496,409322.73,69974.48239909,9523.5271,2.3821,MA5下跌破线,7,否
3,OMUSDT,2025-02-08 06:00:00,5.9754,403608.62,2025-02-08 06:00:00,5.9637,402818.34,67545.03732118,-790.2769,-0.1958,阶段低点止损,0,否
4,OMUSDT,2025-02-11 01:00:00,6.0587,403292.51,2025-02-11 02:00:00,6.0444,402340.64,66564.19780388,-951.868,-0.236,阶段低点止损,1,否
5,PHAUSDT,2025-02-11 07:00:00,0.1685,404059.62,2025-02-11 07:00:00,0.1681,403100.42,2397979.92132471,-959.192,-0.2374,阶段低点止损,0,否
6,OMUSDT,2025-02-11 05:00:00,6.0374,402911.76,2025-02-11 09:00:00,6.0589,404346.58,66735.97211099,1434.8234,0.3561,MA5首次上升止损,4,否
7,TNSRUSDT,2025-02-11 18:00:00,0.3468,403102.01,2025-02-11 18:00:00,0.3461,402288.37,1162347.2047164,-813.643,-0.2018,阶段低点止损,0,否
8,IQUSDT,2025-02-11 22:00:00,0.005654,402776.55,2025-02-11 22:00:00,0.005652,402634.08,71237451.9593786,-142.4749,-0.0354,阶段低点止损,0,否
9,ONEUSDT,2025-02-12 03:00:00,0.01547,402719.56,2025-02-12 03:00:00,0.01543,401678.27,26032292.39927337,-1041.2917,-0.2586,阶段低点止损,0,否
10,ADXUSDT,2025-02-12 10:00:00,0.1559,402303.05,2025-02-12 10:00:00,0.1548,399464.47,2580519.86362008,-2838.5718,-0.7056,阶段低点止损,0,否
11,OGUSDT,2025-02-12 19:00:00,3.684,401167.62,2025-02-12 21:00:00,3.6995,402855.48,108894.5760039,1687.8659,0.4207,MA5首次上升止损,2,否
12,IDEXUSDT,2025-02-13 00:00:00,0.04358,401842.76,2025-02-13 00:00:00,0.04351,401197.31,9220806.89237269,-645.4565,-0.1606,阶段低点止损,0,否
13,KAVAUSDT,2025-02-13 12:00:00,0.4943,401584.58,2025-02-13 12:00:00,0.4899,398009.89,812430.87553432,-3574.6959,-0.8901,阶段低点止损,0,否
14,TKOUSDT,2025-02-13 20:00:00,0.3174,400154.7,2025-02-13 20:00:00,0.3161,398515.76,1260726.85392462,-1638.9449,-0.4096,阶段低点止损,0,否
15,QNTUSDT,2025-02-14 07:00:00,91.2,399499.13,2025-02-14 07:00:00,91.0,398623.03,4380.47286701,-876.0946,-0.2193,阶段低点止损,0,否
16,BIOUSDT,2025-02-14 17:00:00,0.1533,399148.69,2025-02-14 18:00:00,0.1543,401752.4,2603709.63889285,2603.7096,0.6523,MA5下跌破线,1,否
17,THEUSDT,2025-02-14 19:00:00,0.6919,400190.17,2025-02-14 19:00:00,0.6907,399496.1,578393.07919906,-694.0717,-0.1734,阶段低点止损,0,否
18,NEXOUSDT,2025-02-15 07:00:00,1.368,399912.54,2025-02-15 07:00:00,1.366,399327.88,292333.73013144,-584.6675,-0.1462,阶段低点止损,0,否
19,AVAXUSDT,2025-02-15 18:00:00,26.23,399678.68,2025-02-15 18:00:00,26.2,399221.55,15237.46381379,-457.1239,-0.1144,阶段低点止损,0,否
20,TUSDUSDT,2025-02-16 07:00:00,0.9984,399495.83,2025-02-16 08:00:00,0.9983,399455.81,400136.04394025,-40.0136,-0.01,MA5下跌破线,1,否
21,WINUSDT,2025-02-16 21:00:00,7.996e-05,399479.82,2025-02-16 21:00:00,7.962e-05,397781.18,4995995758.231448,-1698.6386,-0.4252,阶段低点止损,0,否
22,CAKEUSDT,2025-02-17 13:00:00,2.736,398800.37,2025-02-17 13:00:00,2.718,396176.68,145760.36747261,-2623.6866,-0.6579,阶段低点止损,0,否
23,TRXUSDT,2025-02-18 05:00:00,0.24,398739.86,2025-02-18 06:00:00,0.2393,397576.87,1661416.08151257,-1162.9913,-0.2917,MA5下跌破线,1,否
24,RONINUSDT,2025-02-18 04:00:00,1.287,397750.89,2025-02-18 07:00:00,1.301,402077.63,309052.7511727,4326.7385,1.0878,MA5首次上升止损,3,否
25,CVCUSDT,2025-02-19 00:00:00,0.1286,399016.39,2025-02-19 00:00:00,0.1281,397465.0,3102771.30375589,-1551.3857,-0.3888,阶段低点止损,0,否
26,ACHUSDT,2025-02-19 18:00:00,0.03421,398395.84,2025-02-19 18:00:00,0.03415,397697.1,11645595.89015659,-698.7358,-0.1754,阶段低点止损,0,否
27,ARKUSDT,2025-02-20 11:00:00,0.4982,398116.34,2025-02-20 11:00:00,0.4951,395639.1,799109.47631653,-2477.2394,-0.6222,阶段低点止损,0,否
28,DEXEUSDT,2025-02-21 05:00:00,19.008,397125.45,2025-02-21 05:00:00,18.852,393866.21,20892.54236902,-3259.2366,-0.8207,阶段低点止损,0,否
29,WINUSDT,2025-02-22 00:00:00,7.851e-05,395821.75,2025-02-22 01:00:00,7.826e-05,394561.33,5041673044.280141,-1260.4183,-0.3184,阶段低点止损,1,否
30,JSTUSDT,2025-02-22 01:00:00,0.03411,396124.25,2025-02-22 01:00:00,0.0341,396008.12,11613141.33946323,-116.1314,-0.0293,阶段低点止损,0,否
31,PROMUSDT,2025-02-22 23:00:00,6.053,395243.07,2025-02-22 23:00:00,6.05,395047.18,65297.05477428,-195.8912,-0.0496,阶段低点止损,0,否
32,IQUSDT,2025-02-22 22:00:00,0.005635,395271.13,2025-02-23 00:00:00,0.005652,396463.61,70145719.75805643,1192.4772,0.3017,MA5首次上升止损,2,否
33,REZUSDT,2025-02-23 21:00:00,0.01715,395669.77,2025-02-23 22:00:00,0.01709,394285.5,23071123.33908302,-1384.2674,-0.3499,阶段低点止损,1,否
34,DIAUSDT,2025-02-23 22:00:00,0.5512,396038.9,2025-02-23 22:00:00,0.5503,395392.25,718503.09005569,-646.6528,-0.1633,阶段低点止损,0,否
35,TFUELUSDT,2025-02-24 21:00:00,0.05188,394857.4,2025-02-24 21:00:00,0.05175,393867.97,7610975.27356815,-989.4268,-0.2506,阶段低点止损,0,否
