序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 01:00:00,5.2591,400000.0,2025-02-01 01:00:00,5.2525,399498.01,76058.64121237,-501.987,-0.1255,阶段低点止损,0,否
2,OMUSDT,2025-02-05 06:00:00,5.7135,399799.21,2025-02-05 13:00:00,5.8496,409322.73,69974.48239909,9523.5271,2.3821,MA5下跌破线,7,否
3,OMUSDT,2025-02-08 06:00:00,5.9754,403608.62,2025-02-08 06:00:00,5.9637,402818.34,67545.03732118,-790.2769,-0.1958,阶段低点止损,0,否
4,OMUSDT,2025-02-11 01:00:00,6.0587,403292.51,2025-02-11 02:00:00,6.0444,402340.64,66564.19780388,-951.868,-0.236,阶段低点止损,1,否
5,PHAUSDT,2025-02-11 07:00:00,0.1685,404059.62,2025-02-11 07:00:00,0.1681,403100.42,2397979.92132471,-959.192,-0.2374,阶段低点止损,0,否
6,OMUSDT,2025-02-11 05:00:00,6.0374,402911.76,2025-02-11 09:00:00,6.0589,404346.58,66735.97211099,1434.8234,0.3561,MA5首次上升止损,4,否
7,TNSRUSDT,2025-02-11 18:00:00,0.3468,403102.01,2025-02-11 18:00:00,0.3461,402288.37,1162347.2047164,-813.643,-0.2018,阶段低点止损,0,否
8,CVCUSDT,2025-02-11 20:00:00,0.1189,402776.55,2025-02-11 20:00:00,0.1184,401082.79,3387523.57761418,-1693.7618,-0.4205,阶段低点止损,0,否
9,THEUSDT,2025-02-11 23:00:00,0.5248,402099.05,2025-02-11 23:00:00,0.5215,399570.61,766194.83358004,-2528.443,-0.6288,阶段低点止损,0,否
10,ONEUSDT,2025-02-12 03:00:00,0.01547,401087.67,2025-02-12 03:00:00,0.01543,400050.6,25926804.87928106,-1037.0722,-0.2586,阶段低点止损,0,否
11,ADXUSDT,2025-02-12 10:00:00,0.1559,400672.84,2025-02-12 10:00:00,0.1548,397845.77,2570063.13408858,-2827.0694,-0.7056,阶段低点止损,0,否
12,OGUSDT,2025-02-12 19:00:00,3.684,399542.01,2025-02-12 21:00:00,3.6995,401223.04,108453.31564208,1681.0264,0.4207,MA5首次上升止损,2,否
13,IDEXUSDT,2025-02-13 00:00:00,0.04358,400214.43,2025-02-13 00:00:00,0.04351,399571.58,9183442.52827883,-642.841,-0.1606,阶段低点止损,0,否
14,KAVAUSDT,2025-02-13 12:00:00,0.4943,399957.29,2025-02-13 12:00:00,0.4899,396397.08,809138.75984544,-3560.2105,-0.8901,阶段低点止损,0,否
15,CHZUSDT,2025-02-13 18:00:00,0.0615,398533.2,2025-02-13 18:00:00,0.0614,397885.18,6480214.71177677,-648.0215,-0.1626,阶段低点止损,0,否
16,RONINUSDT,2025-02-14 02:00:00,1.193,400517.79,2025-02-14 02:00:00,1.188,398839.18,335723.21319984,-1678.6161,-0.4191,阶段低点止损,0,否
17,BIOUSDT,2025-02-14 01:00:00,0.1491,398274.0,2025-02-14 12:00:00,0.1561,416972.31,2671187.09715493,18698.3097,4.6948,MA5下跌破线,11,否
18,ADAUSDT,2025-02-14 14:00:00,0.7981,405081.87,2025-02-14 14:00:00,0.7965,404269.78,507557.79179481,-812.0925,-0.2005,阶段低点止损,0,否
19,THEUSDT,2025-02-14 21:00:00,0.6868,404757.04,2025-02-14 21:00:00,0.6824,402163.95,589337.56063583,-2593.0853,-0.6407,阶段低点止损,0,否
20,NEXOUSDT,2025-02-15 07:00:00,1.368,403719.8,2025-02-15 07:00:00,1.366,403129.57,295116.81472074,-590.2336,-0.1462,阶段低点止损,0,否
21,AXLUSDT,2025-02-15 17:00:00,0.4836,404527.2,2025-02-15 17:00:00,0.4828,403858.01,836491.31810851,-669.1931,-0.1654,阶段低点止损,0,否
22,LRCUSDT,2025-02-15 16:00:00,0.1392,403483.71,2025-02-15 18:00:00,0.1388,402324.27,2898589.86412493,-1159.4359,-0.2874,阶段低点止损,2,否
23,XVSUSDT,2025-02-16 05:00:00,8.16,402752.26,2025-02-16 06:00:00,8.09,399297.27,49356.89429977,-3454.9826,-0.8578,阶段低点止损,1,否
24,CITYUSDT,2025-02-16 18:00:00,1.319,401370.26,2025-02-16 18:00:00,1.318,401065.97,304298.91163438,-304.2989,-0.0758,阶段低点止损,0,否
25,CAKEUSDT,2025-02-17 13:00:00,2.736,401248.54,2025-02-17 13:00:00,2.718,398608.75,146655.16991268,-2639.7931,-0.6579,阶段低点止损,0,否
26,RONINUSDT,2025-02-18 03:00:00,1.29,400192.63,2025-02-18 03:00:00,1.289,399882.4,310226.84314552,-310.2268,-0.0775,阶段低点止损,0,否
27,CVCUSDT,2025-02-19 00:00:00,0.1286,400068.54,2025-02-19 00:00:00,0.1281,398513.06,3110952.85319175,-1555.4764,-0.3888,阶段低点止损,0,否
28,ACHUSDT,2025-02-19 18:00:00,0.03421,399446.35,2025-02-19 18:00:00,0.03415,398745.77,11676303.60566561,-700.5782,-0.1754,阶段低点止损,0,否
29,ARKUSDT,2025-02-20 11:00:00,0.4982,399166.12,2025-02-20 11:00:00,0.4951,396682.34,801216.60992229,-2483.7715,-0.6222,阶段低点止损,0,否
30,DEXEUSDT,2025-02-21 05:00:00,19.008,398172.61,2025-02-21 05:00:00,18.852,394904.78,20947.63291598,-3267.8307,-0.8207,阶段低点止损,0,否
31,WINUSDT,2025-02-22 00:00:00,7.851e-05,396865.47,2025-02-22 01:00:00,7.826e-05,395601.73,5054967191.096975,-1263.7418,-0.3184,阶段低点止损,1,否
32,JSTUSDT,2025-02-22 01:00:00,0.03411,397168.77,2025-02-22 01:00:00,0.0341,397052.33,11643763.47711784,-116.4376,-0.0293,阶段低点止损,0,否
33,PROMUSDT,2025-02-22 23:00:00,6.053,396285.27,2025-02-22 23:00:00,6.05,396088.86,65469.23345887,-196.4077,-0.0496,阶段低点止损,0,否
34,IQUSDT,2025-02-22 22:00:00,0.005635,396313.4,2025-02-23 00:00:00,0.005652,397509.02,70330683.65572411,1195.6216,0.3017,MA5首次上升止损,2,否
35,REZUSDT,2025-02-23 21:00:00,0.01715,396713.09,2025-02-23 22:00:00,0.01709,395325.17,23131958.48214074,-1387.9175,-0.3499,阶段低点止损,1,否
36,DIAUSDT,2025-02-23 22:00:00,0.5512,397083.2,2025-02-23 22:00:00,0.5503,396434.84,720397.67653198,-648.3579,-0.1633,阶段低点止损,0,否
