序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 03:00:00,5.2074,450000.0,2025-02-01 05:00:00,5.2389,452722.09,86415.48565503,2722.0878,0.6049,MA5下跌破线,2,否
2,OMUSDT,2025-02-11 05:00:00,6.0374,451224.94,2025-02-11 09:00:00,6.0589,452831.81,74738.28792347,1606.8732,0.3561,MA5首次上升止损,4,否
3,COOKIEUSDT,2025-02-12 02:00:00,0.2209,451948.03,2025-02-12 03:00:00,0.216513,442972.5,2045939.48594305,-8975.5365,-1.986,阶段低点止损,1,否
4,RUNEUSDT,2025-02-12 03:00:00,1.348,448725.68,2025-02-12 03:00:00,1.32957,442590.65,332882.55026295,-6135.0254,-1.3672,阶段低点止损,0,否
5,SUNUSDT,2025-02-12 04:00:00,0.01952,445148.28,2025-02-12 06:00:00,0.01939,442183.67,22804727.43739956,-2964.6146,-0.666,MA5下跌破线,2,否
6,NMRUSDT,2025-02-12 05:00:00,11.17,446174.49,2025-02-12 06:00:00,11.12,444177.29,39944.0011023,-1997.2001,-0.4476,MA5下跌破线,1,否
7,RPLUSDT,2025-02-12 12:00:00,8.97,442915.46,2025-02-12 12:00:00,8.8803,438486.31,49377.4206241,-4429.1546,-1.0,阶段低点止损,0,否
8,SUPERUSDT,2025-02-12 16:00:00,0.7095,440922.34,2025-02-12 17:00:00,0.7074,439617.29,621455.02947802,-1305.0556,-0.296,MA5下跌破线,1,否
9,USTCUSDT,2025-02-13 19:00:00,0.01873,440335.07,2025-02-13 22:00:00,0.0184833,434535.25,23509613.90345976,-5799.8217,-1.3171,阶段低点止损,3,否
10,SXPUSDT,2025-02-13 20:00:00,0.2438,442662.52,2025-02-13 22:00:00,0.24405,443116.44,1815678.91791732,453.9197,0.1025,MA5首次上升止损,2,否
11,C98USDT,2025-02-14 04:00:00,0.1036,437929.41,2025-02-14 06:00:00,0.10445,441522.46,4227117.88129898,3593.0502,0.8205,MA5首次上升止损,2,否
12,RADUSDT,2025-02-14 05:00:00,0.891,439260.95,2025-02-14 06:00:00,0.8925,440000.45,492997.70441659,739.4966,0.1684,MA5首次上升止损,1,否
13,QNTUSDT,2025-02-14 07:00:00,91.2,439879.06,2025-02-14 12:00:00,92.0,443737.65,4823.23529104,3858.5882,0.8772,MA5首次上升止损,5,否
14,DEGOUSDT,2025-02-14 09:00:00,1.894,440313.15,2025-02-14 12:00:00,1.9065,443219.12,232477.90375863,2905.9738,0.66,MA5首次上升止损,3,否
15,THEUSDT,2025-02-14 21:00:00,0.6868,442923.11,2025-02-14 23:00:00,0.675576,435684.66,644908.43252194,-7238.4522,-1.6342,阶段低点止损,2,否
16,BOMEUSDT,2025-02-15 14:00:00,0.002325,439665.81,2025-02-15 14:00:00,0.00228888,432835.39,189103573.30971467,-6830.4211,-1.5535,阶段低点止损,0,否
17,WIFUSDT,2025-02-15 15:00:00,0.696,436592.12,2025-02-15 18:00:00,0.703,440983.13,627287.52652947,4391.0127,1.0057,MA5首次上升止损,3,否
18,RAYUSDT,2025-02-15 16:00:00,5.474,436874.4,2025-02-15 19:00:00,5.37273,428792.14,79808.9875505,-8082.2562,-1.85,阶段低点止损,3,否
19,PNUTUSDT,2025-02-15 19:00:00,0.1687,437957.54,2025-02-15 19:00:00,0.166518,432292.9,2596073.12044053,-5664.6315,-1.2934,阶段低点止损,0,否
20,LRCUSDT,2025-02-15 20:00:00,0.1368,432381.97,2025-02-15 22:00:00,0.134937,426493.61,3160686.94956111,-5888.3598,-1.3618,阶段低点止损,2,否
21,ASRUSDT,2025-02-15 22:00:00,1.564,431955.28,2025-02-15 22:00:00,1.53549,424081.21,276186.24166354,-7874.0697,-1.8229,阶段低点止损,0,否
