序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 03:00:00,5.2074,400000.0,2025-02-01 05:00:00,5.2389,402419.63,76813.76502669,2419.6336,0.6049,MA5下跌破线,2,否
2,OMUSDT,2025-02-11 05:00:00,6.0374,400967.85,2025-02-11 09:00:00,6.0589,402395.75,66413.99500436,1427.9009,0.3561,MA5首次上升止损,4,否
3,COOKIEUSDT,2025-02-12 02:00:00,0.2209,401539.01,2025-02-12 02:00:00,0.2176065,395552.28,1817741.12175814,-5986.7304,-1.4909,阶段低点止损,0,否
4,SUNUSDT,2025-02-12 04:00:00,0.01952,399144.32,2025-02-12 06:00:00,0.01939255,396538.23,20447967.29726279,-2606.0934,-0.6529,阶段低点止损,2,否
5,NMRUSDT,2025-02-12 05:00:00,11.17,399962.24,2025-02-12 06:00:00,11.12,398171.9,35806.82545519,-1790.3413,-0.4476,MA5下跌破线,1,否
6,RPLUSDT,2025-02-12 12:00:00,8.97,397385.75,2025-02-12 12:00:00,8.92515,395398.82,44301.64412047,-1986.9287,-0.5,阶段低点止损,0,否
7,USTCUSDT,2025-02-13 19:00:00,0.01873,396590.98,2025-02-13 21:00:00,0.01857665,393343.93,21174104.44554886,-3247.0489,-0.8187,阶段低点止损,2,否
8,SXPUSDT,2025-02-13 20:00:00,0.2438,398454.3,2025-02-13 21:00:00,0.241387,394510.61,1634349.04617038,-3943.6842,-0.9897,阶段低点止损,1,否
9,C98USDT,2025-02-14 04:00:00,0.1036,393714.68,2025-02-14 06:00:00,0.10445,396944.97,3800334.77798336,3230.2846,0.8205,MA5首次上升止损,2,否
10,RADUSDT,2025-02-14 05:00:00,0.891,394778.78,2025-02-14 06:00:00,0.8925,395443.39,443073.82349822,664.6107,0.1684,MA5首次上升止损,1,否
11,QNTUSDT,2025-02-14 07:00:00,91.2,395272.64,2025-02-14 12:00:00,92.0,398739.94,4334.12983682,3467.3039,0.8772,MA5首次上升止损,5,否
12,DEGOUSDT,2025-02-14 09:00:00,1.894,395619.37,2025-02-14 12:00:00,1.9065,398230.38,208880.34398344,2611.0043,0.66,MA5首次上升止损,3,否
13,THEUSDT,2025-02-14 21:00:00,0.6868,397703.96,2025-02-14 23:00:00,0.678988,393180.28,579068.09025246,-4523.6799,-1.1374,阶段低点止损,2,否
14,BOMEUSDT,2025-02-15 14:00:00,0.002325,395894.49,2025-02-15 14:00:00,0.00230044,391712.48,170277201.03955597,-4182.0081,-1.0563,阶段低点止损,0,否
15,PNUTUSDT,2025-02-15 19:00:00,0.1687,394221.69,2025-02-15 19:00:00,0.167359,391088.01,2336820.91994046,-3133.6769,-0.7949,阶段低点止损,0,否
16,PORTOUSDT,2025-02-16 01:00:00,1.299,392968.22,2025-02-16 02:00:00,1.3155,397959.73,302515.94954003,4991.5132,1.2702,MA5首次上升止损,1,否
17,EURIUSDT,2025-02-16 02:00:00,1.0479,396961.43,2025-02-16 04:00:00,1.0479,396961.43,378816.13606873,0.0,0.0,MA5下跌破线,2,否
18,OGUSDT,2025-02-16 04:00:00,3.983,395010.28,2025-02-16 05:00:00,3.92826,389581.49,99174.06016967,-5428.7881,-1.3743,阶段低点止损,1,否
19,OSMOUSDT,2025-02-16 11:00:00,0.3312,392793.31,2025-02-16 13:00:00,0.3325,394335.07,1185970.13435383,1541.7612,0.3925,MA5下跌破线,2,否
20,TUSDUSDT,2025-02-16 12:00:00,0.9984,393552.33,2025-02-16 14:00:00,0.9984,393552.33,394183.02221953,0.0,0.0,MA5首次上升止损,2,否
21,ACMUSDT,2025-02-16 15:00:00,1.276,393410.01,2025-02-16 15:00:00,1.26564,390215.87,308315.05718484,-3194.144,-0.8119,阶段低点止损,0,否
22,CITYUSDT,2025-02-16 19:00:00,1.323,392132.36,2025-02-16 22:00:00,1.4065,416881.45,296396.33814881,24749.0942,6.3114,MA5首次上升止损,3,否
23,HIVEUSDT,2025-02-16 21:00:00,0.3305,392369.47,2025-02-16 23:00:00,0.3329,395218.75,1187199.61404356,2849.2791,0.7262,MA5首次上升止损,2,否
24,WINUSDT,2025-02-17 00:00:00,8.029e-05,403171.7,2025-02-17 03:00:00,8.054e-05,404401.96,5021443575.719644,1230.2537,0.3051,MA5首次上升止损,3,否
