序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-04-10 18:00:00,6.7146,450000.0,2025-04-10 19:00:00,6.678,447547.14,67018.13957645,-2452.8639,-0.5451,阶段低点止损,1,否
2,OMUSDT,2025-04-10 21:00:00,6.6104,448896.21,2025-04-10 21:00:00,6.6079,448726.44,67907.5715904,-169.7689,-0.0378,阶段低点止损,0,否
3,OMUSDT,2025-04-10 22:00:00,6.425,448819.82,2025-04-10 22:00:00,6.4109,447834.86,69855.22415924,-984.9587,-0.2195,阶段低点止损,0,否
4,OMUSDT,2025-04-10 23:00:00,6.4377,448376.58,2025-04-10 23:00:00,6.4089,446370.71,69648.5676291,-2005.8787,-0.4474,阶段低点止损,0,否
5,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.5e-07,230839.73,355138046340.77246,7102.7609,3.1746,阶段止盈,0,是
6,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.3e-07,223736.97,355138046340.77246,0.0,0.0,阶段低点止损,0,否
7,CRVUSDT,2025-04-23 16:00:00,0.6742,452070.42,2025-04-23 16:00:00,0.6699,449187.15,670528.6589655,-2883.2732,-0.6378,阶段低点止损,0,否
8,OSMOUSDT,2025-04-23 17:00:00,0.2418,451239.7,2025-04-23 18:00:00,0.2409,449560.14,1866169.13127436,-1679.5522,-0.3722,阶段低点止损,1,否
9,GMTUSDT,2025-04-23 19:00:00,0.0585,453051.01,2025-04-23 19:00:00,0.0582,450727.67,7744461.64220206,-2323.3385,-0.5128,阶段低点止损,0,否
10,RAYUSDT,2025-04-23 20:00:00,2.6,452472.25,2025-04-23 21:00:00,2.592,451080.03,174027.78875762,-1392.2223,-0.3077,阶段低点止损,1,否
11,MLNUSDT,2025-04-23 15:00:00,8.69,450670.18,2025-04-23 23:00:00,8.785,455596.95,51860.78029994,4926.7741,1.0932,MA5首次上升止损,8,否
12,SPELLUSDT,2025-04-23 22:00:00,0.0005792,449745.39,2025-04-23 23:00:00,0.0005785,449201.84,776494111.0637909,-543.5459,-0.1209,阶段低点止损,1,否
13,LPTUSDT,2025-04-24 00:00:00,5.242,448917.36,2025-04-24 00:00:00,5.214,446519.48,85638.56537672,-2397.8798,-0.5341,阶段低点止损,0,否
14,ATMUSDT,2025-04-24 03:00:00,1.086,447902.27,2025-04-24 03:00:00,1.085,447489.84,412433.02981522,-412.433,-0.0921,阶段低点止损,0,否
15,JSTUSDT,2025-04-24 01:00:00,0.03151,447838.31,2025-04-24 05:00:00,0.03156,448548.94,14212577.39704987,710.6289,0.1587,MA5首次上升止损,4,否
16,POWRUSDT,2025-04-24 04:00:00,0.1834,447716.68,2025-04-24 08:00:00,0.1844,450157.88,2441203.24708785,2441.2032,0.5453,MA5首次上升止损,4,否
17,KAVAUSDT,2025-04-24 06:00:00,0.4389,448631.63,2025-04-24 09:00:00,0.44175,451544.82,1022172.76551782,2913.1924,0.6494,MA5首次上升止损,3,否
18,COOKIEUSDT,2025-04-24 09:00:00,0.1215,451692.92,2025-04-24 09:00:00,0.1204,447603.52,3717637.17295309,-4089.4009,-0.9053,阶段低点止损,0,否
19,PENGUUSDT,2025-04-24 10:00:00,0.006473,448541.75,2025-04-24 10:00:00,0.006452,447086.57,69294260.70468293,-1455.1795,-0.3244,阶段低点止损,0,否
20,ADAUSDT,2025-04-24 11:00:00,0.686,447886.92,2025-04-24 11:00:00,0.686,447886.92,652896.38305795,0.0,0.0,阶段低点止损,0,否
21,COOKIEUSDT,2025-04-24 12:00:00,0.1168,447886.92,2025-04-24 12:00:00,0.1166,447119.99,3834648.27720679,-766.9297,-0.1712,阶段低点止损,0,否
22,SANDUSDT,2025-04-24 13:00:00,0.2893,447541.8,2025-04-24 13:00:00,0.2892,447387.1,1546981.68141308,-154.6982,-0.0346,阶段低点止损,0,否
23,AAVEUSDT,2025-04-24 14:00:00,164.15,447472.19,2025-04-24 14:00:00,164.14,447444.93,2725.99565189,-27.26,-0.0061,阶段低点止损,0,否
24,APTUSDT,2025-04-24 15:00:00,5.267,447459.92,2025-04-24 15:00:00,5.264,447205.05,84955.36724449,-254.8661,-0.057,阶段低点止损,0,否
25,WOOUSDT,2025-04-24 16:00:00,0.0672,447345.23,2025-04-24 16:00:00,0.067,446013.84,6656923.05849595,-1331.3846,-0.2976,阶段低点止损,0,否
26,1000CHEEMSUSDT,2025-04-24 17:00:00,0.001448,446746.11,2025-04-24 18:00:00,0.001441,444586.42,308526316.613027,-2159.6842,-0.4834,阶段低点止损,1,否
27,BIGTIMEUSDT,2025-04-24 18:00:00,0.07398,448273.31,2025-04-24 19:00:00,0.07352,445485.99,6059385.12737088,-2787.3172,-0.6218,阶段低点止损,1,否
28,LUNCUSDT,2025-04-24 20:00:00,6.312e-05,444519.96,2025-04-24 22:00:00,6.315e-05,444696.02,7042458108.950668,176.0615,0.0396,MA5首次上升止损,2,否
29,BARUSDT,2025-04-25 03:00:00,1.853,444599.18,2025-04-25 03:00:00,1.844,442439.77,239934.79950928,-2159.4132,-0.4857,阶段低点止损,0,否
30,AEURUSDT,2025-04-25 06:00:00,1.0576,446817.92,2025-04-25 06:00:00,1.0568,446479.93,422482.90367064,-337.9863,-0.0756,阶段低点止损,0,否
31,SYSUSDT,2025-04-25 04:00:00,0.0438,221813.72,2025-04-25 08:00:00,0.046,232955.05,5064240.2688662,11141.3286,5.0228,阶段止盈,4,是
32,SYSUSDT,2025-04-25 04:00:00,0.0438,221813.72,2025-04-25 10:00:00,0.0447,226371.54,5064240.2688662,4557.8162,2.0548,阶段止盈后止损,6,否
33,JUVUSDT,2025-04-25 07:00:00,1.064,448944.73,2025-04-25 10:00:00,1.066,449788.61,421940.53871967,843.8811,0.188,MA5首次上升止损,3,否
34,XLMUSDT,2025-04-25 12:00:00,0.2752,226247.36,2025-04-25 14:00:00,0.2814,231344.51,822119.77837216,5097.1426,2.2529,阶段止盈,2,是
35,TSTUSDT,2025-04-25 11:00:00,0.0773,450919.72,2025-04-25 20:00:00,0.0803,468419.83,5833372.77318595,17500.1183,3.881,MA5下跌破线,9,否
36,XLMUSDT,2025-04-25 12:00:00,0.2752,226247.36,2025-04-25 20:00:00,0.282,231837.78,822119.77837216,5590.4145,2.4709,MA5下跌破线,8,否
37,EGLDUSDT,2025-04-25 21:00:00,17.79,463604.17,2025-04-25 21:00:00,17.75,462561.78,26059.81839879,-1042.3927,-0.2248,阶段低点止损,0,否
38,EGLDUSDT,2025-04-25 22:00:00,17.69,463135.09,2025-04-25 22:00:00,17.53,458946.19,26180.61574807,-4188.8985,-0.9045,阶段低点止损,0,否
39,EGLDUSDT,2025-04-25 23:00:00,17.68,461250.09,2025-04-25 23:00:00,17.52,457075.88,26088.80589647,-4174.2089,-0.905,阶段低点止损,0,否
40,IDEXUSDT,2025-04-26 00:00:00,0.02735,459371.69,2025-04-26 01:00:00,0.0273,458531.89,16796040.00822549,-839.802,-0.1828,阶段低点止损,1,否
41,TSTUSDT,2025-04-26 01:00:00,0.0788,459825.19,2025-04-26 01:00:00,0.0785,458074.58,5835345.01656331,-1750.6035,-0.3807,阶段低点止损,0,否
42,REDUSDT,2025-04-26 03:00:00,0.4089,460470.91,2025-04-26 03:00:00,0.4086,460133.07,1126121.07699575,-337.8363,-0.0734,阶段低点止损,0,否
43,HIGHUSDT,2025-04-26 04:00:00,0.524,461015.77,2025-04-26 04:00:00,0.521,458376.37,879801.09410455,-2639.4033,-0.5725,阶段低点止损,0,否
44,NOTUSDT,2025-04-26 02:00:00,0.002367,458206.01,2025-04-26 05:00:00,0.002384,461496.89,193580909.06106716,3290.8755,0.7182,MA5首次上升止损,3,否
45,CETUSUSDT,2025-04-26 05:00:00,0.1885,459131.15,2025-04-26 05:00:00,0.187,455477.59,2435709.02154443,-3653.5635,-0.7958,阶段低点止损,0,否
46,CETUSUSDT,2025-04-26 06:00:00,0.1855,456703.04,2025-04-26 06:00:00,0.1848,454979.64,2462011.02043065,-1723.4077,-0.3774,阶段低点止损,0,否
47,HBARUSDT,2025-04-26 07:00:00,0.19353,455927.51,2025-04-26 07:00:00,0.19262,453783.69,2355849.27824342,-2143.8228,-0.4702,阶段低点止损,0,否
48,QNTUSDT,2025-04-26 08:00:00,74.6,454962.79,2025-04-26 08:00:00,74.5,454352.92,6098.69692412,-609.8697,-0.134,阶段低点止损,0,否
49,TUSDUSDT,2025-04-26 10:00:00,0.9981,459534.22,2025-04-26 10:00:00,0.9981,459534.22,460408.99680801,0.0,0.0,阶段低点止损,0,否
50,PENDLEUSDT,2025-04-26 09:00:00,3.589,454688.35,2025-04-26 11:00:00,3.6315,460072.65,126689.42579477,5384.3006,1.1842,MA5首次上升止损,2,否
51,BCHUSDT,2025-04-26 11:00:00,372.7,458508.04,2025-04-26 11:00:00,371.9,457523.85,1230.2335266,-984.1868,-0.2146,阶段低点止损,0,否
52,ENSUSDT,2025-04-26 12:00:00,18.15,456668.4,2025-04-26 13:00:00,18.09,455158.75,25160.79340916,-1509.6476,-0.3306,阶段低点止损,1,否
53,TUSDT,2025-04-26 13:00:00,0.01907,456668.4,2025-04-26 13:00:00,0.01907,456668.4,23946953.34956325,0.0,0.0,阶段低点止损,0,否
54,DEGOUSDT,2025-04-26 14:00:00,2.199,455989.06,2025-04-26 16:00:00,2.194,454952.25,207362.00952893,-1036.81,-0.2274,阶段低点止损,2,否
55,SYNUSDT,2025-04-26 15:00:00,0.3206,458041.94,2025-04-26 17:00:00,0.3171,453041.48,1428702.25467393,-5000.4579,-1.0917,阶段低点止损,2,否
56,IDEXUSDT,2025-04-26 17:00:00,0.02757,456872.62,2025-04-26 17:00:00,0.02752,456044.05,16571368.08354555,-828.5684,-0.1814,阶段低点止损,0,否
57,GUSDT,2025-04-26 18:00:00,0.01504,452899.43,2025-04-26 19:00:00,0.01503,452598.3,30112994.18880936,-301.1299,-0.0665,阶段低点止损,1,否
58,CTKUSDT,2025-04-26 19:00:00,0.3636,453847.99,2025-04-26 19:00:00,0.3634,453598.35,1248206.79845061,-249.6414,-0.055,阶段低点止损,0,否
59,IDUSDT,2025-04-26 20:00:00,0.2062,452651.59,2025-04-26 20:00:00,0.206,452212.54,2195206.52528604,-439.0413,-0.097,阶段低点止损,0,否
60,ONDOUSDT,2025-04-26 21:00:00,0.994,452454.02,2025-04-26 21:00:00,0.9939,452408.5,455185.12769286,-45.5185,-0.0101,阶段低点止损,0,否
61,WLDUSDT,2025-04-26 22:00:00,1.081,452433.53,2025-04-26 22:00:00,1.075,449922.34,418532.4085069,-2511.1945,-0.555,阶段低点止损,0,否
62,FORTHUSDT,2025-04-27 01:00:00,2.78,455543.93,2025-04-27 01:00:00,2.766,453249.83,163864.72360675,-2294.1061,-0.5036,阶段低点止损,0,否
63,LPTUSDT,2025-04-26 23:00:00,5.364,451303.5,2025-04-27 02:00:00,5.42,456015.09,84135.62566983,4711.595,1.044,MA5首次上升止损,3,否
64,FORTHUSDT,2025-04-27 02:00:00,2.778,453148.59,2025-04-27 02:00:00,2.766,451191.14,163120.44158826,-1957.4453,-0.432,阶段低点止损,0,否
65,SHIBUSDT,2025-04-27 03:00:00,1.409e-05,451510.52,2025-04-27 03:00:00,1.409e-05,451510.52,32044749163.70281,0.0,0.0,阶段低点止损,0,否
66,TKOUSDT,2025-04-27 04:00:00,0.1786,451510.52,2025-04-27 04:00:00,0.1781,450246.49,2528054.39930892,-1264.0272,-0.28,阶段低点止损,0,否
67,SHIBUSDT,2025-04-27 05:00:00,1.408e-05,450941.7,2025-04-27 05:00:00,1.407e-05,450621.43,32027109621.926712,-320.2711,-0.071,阶段低点止损,0,否
68,DCRUSDT,2025-04-27 07:00:00,14.12,453324.81,2025-04-27 07:00:00,14.08,452040.61,32105.15671204,-1284.2063,-0.2833,阶段低点止损,0,否
69,IOTAUSDT,2025-04-27 06:00:00,0.2087,450797.58,2025-04-27 09:00:00,0.21,453605.62,2160026.74405093,2808.0348,0.6229,MA5首次上升止损,3,否
70,DCRUSDT,2025-04-27 08:00:00,14.11,452746.92,2025-04-27 09:00:00,14.08,451784.31,32086.95393006,-962.6086,-0.2126,阶段低点止损,1,否
71,1000SATSUSDT,2025-04-27 10:00:00,4.87e-05,451050.13,2025-04-27 10:00:00,4.85e-05,449197.77,9261809659.750034,-1852.3619,-0.4107,阶段低点止损,0,否
72,SSVUSDT,2025-04-27 11:00:00,6.6,450216.57,2025-04-27 12:00:00,6.645,453286.23,68214.63144855,3069.6584,0.6818,MA5首次上升止损,1,否
73,TRXUSDT,2025-04-27 12:00:00,0.2516,452979.26,2025-04-27 13:00:00,0.252,453699.42,1800394.51563639,720.1578,0.159,MA5首次上升止损,1,否
74,WBETHUSDT,2025-04-27 13:00:00,1918.33,452246.06,2025-04-27 13:00:00,1917.94,452154.11,235.74987404,-91.9425,-0.0203,阶段低点止损,0,否
75,ANKRUSDT,2025-04-27 15:00:00,0.02029,450919.72,2025-04-27 18:00:00,0.0206,457809.08,22223741.64281369,6889.3599,1.5278,MA5首次上升止损,3,否
76,ARPAUSDT,2025-04-27 19:00:00,0.0271,457884.85,2025-04-27 19:00:00,0.02696,455519.4,16896120.08722475,-2365.4568,-0.5166,阶段低点止损,0,否
77,KAITOUSDT,2025-04-27 14:00:00,0.9523,451880.61,2025-04-27 20:00:00,0.96105,456032.62,474514.97506794,4152.006,0.9188,MA5首次上升止损,6,否
78,ARPAUSDT,2025-04-27 20:00:00,0.02696,456991.22,2025-04-27 20:00:00,0.02694,456652.21,16950713.06340208,-339.0143,-0.0742,阶段低点止损,0,否
79,ENSUSDT,2025-04-27 21:00:00,18.39,455632.21,2025-04-27 21:00:00,18.35,454641.17,24776.08555996,-991.0434,-0.2175,阶段低点止损,0,否
80,TRXUSDT,2025-04-27 22:00:00,0.2487,455186.24,2025-04-27 23:00:00,0.2482,454271.11,1830262.33979718,-915.1312,-0.201,阶段低点止损,1,否
81,WLDUSDT,2025-04-27 23:00:00,1.138,455021.52,2025-04-27 23:00:00,1.133,453022.3,399843.1637056,-1999.2158,-0.4394,阶段低点止损,0,否
82,WLDUSDT,2025-04-28 01:00:00,1.119,454776.81,2025-04-28 01:00:00,1.116,453557.57,406413.59268243,-1219.2408,-0.2681,阶段低点止损,0,否
83,STEEMUSDT,2025-04-28 00:00:00,0.1585,453874.79,2025-04-28 03:00:00,0.15955,456881.53,2863563.32973355,3006.7415,0.6625,MA5首次上升止损,3,否
84,VIRTUALUSDT,2025-04-28 02:00:00,1.0598,456032.2,2025-04-28 04:00:00,1.0763,463132.15,430300.24227141,7099.954,1.5569,MA5首次上升止损,2,否
85,TRXUSDT,2025-04-28 04:00:00,0.2476,461069.12,2025-04-28 04:00:00,0.2475,460882.91,1862153.15704231,-186.2153,-0.0404,阶段低点止损,0,否
86,RAREUSDT,2025-04-28 05:00:00,0.0642,457790.35,2025-04-28 06:00:00,0.0637,454225.0,7130690.73976237,-3565.3454,-0.7788,阶段低点止损,1,否
87,TURBOUSDT,2025-04-28 06:00:00,0.005049,456827.7,2025-04-28 06:00:00,0.005013,453570.46,90478847.7407162,-3257.2385,-0.713,阶段低点止损,0,否
88,JSTUSDT,2025-04-28 07:00:00,0.04085,454720.18,2025-04-28 07:00:00,0.04083,454497.55,11131461.02185797,-222.6292,-0.049,阶段低点止损,0,否
89,RAREUSDT,2025-04-28 08:00:00,0.0636,454620.0,2025-04-28 08:00:00,0.0631,451045.94,7148113.20115882,-3574.0566,-0.7862,阶段低点止损,0,否
90,NOTUSDT,2025-04-28 09:00:00,0.002534,453011.67,2025-04-28 09:00:00,0.002533,452832.9,178773352.06134194,-178.7734,-0.0395,阶段低点止损,0,否
91,WCTUSDT,2025-04-28 14:00:00,0.4219,455885.13,2025-04-28 16:00:00,0.42615,460477.47,1080552.56083376,4592.3484,1.0073,MA5首次上升止损,2,否
92,HEIUSDT,2025-04-28 21:00:00,0.3689,465828.75,2025-04-28 21:00:00,0.3671,463555.8,1262750.73730105,-2272.9513,-0.4879,阶段低点止损,0,否
93,PSGUSDT,2025-04-28 10:00:00,2.07,226465.61,2025-04-28 22:00:00,2.241,245173.64,109403.67780556,18708.0289,8.2609,阶段止盈,12,是
94,HEIUSDT,2025-04-28 22:00:00,0.3667,465987.48,2025-04-28 22:00:00,0.3664,465606.25,1270759.41808957,-381.2278,-0.0818,阶段低点止损,0,否
95,YFIUSDT,2025-04-28 23:00:00,5950.0,469409.84,2025-04-28 23:00:00,5938.0,468463.13,78.89240956,-946.7089,-0.2017,阶段低点止损,0,否
96,PSGUSDT,2025-04-28 10:00:00,2.07,226465.61,2025-04-29 00:00:00,2.143,234452.08,109403.67780556,7986.4685,3.5266,阶段止盈后止损,14,否
97,PENGUUSDT,2025-04-29 00:00:00,0.011572,466719.16,2025-04-29 00:00:00,0.011474,462766.65,40331763.02849048,-3952.5128,-0.8469,阶段低点止损,0,否
98,NEXOUSDT,2025-04-29 03:00:00,1.2,468637.71,2025-04-29 05:00:00,1.211,472933.55,390531.42176119,4295.8456,0.9167,MA5首次上升止损,2,否
99,BROCCOLI714USDT,2025-04-29 01:00:00,0.03694,463611.28,2025-04-29 07:00:00,0.03803,477291.2,12550386.47349209,13679.9213,2.9507,MA5首次上升止损,6,否
100,ZECUSDT,2025-04-29 07:00:00,35.78,477065.66,2025-04-29 07:00:00,35.64,475199.0,13333.30524458,-1866.6627,-0.3913,阶段低点止损,0,否
101,ZECUSDT,2025-04-29 08:00:00,35.66,470860.37,2025-04-29 08:00:00,35.53,469143.83,13204.16077407,-1716.5409,-0.3646,阶段低点止损,0,否
102,ZECUSDT,2025-04-29 09:00:00,35.66,470087.93,2025-04-29 10:00:00,35.68,470351.58,13182.49943348,263.65,0.0561,MA5下跌破线,1,否
103,PENGUUSDT,2025-04-29 11:00:00,0.011656,470206.57,2025-04-29 11:00:00,0.011611,468391.26,40340303.04503886,-1815.3136,-0.3861,阶段低点止损,0,否
104,PENGUUSDT,2025-04-29 12:00:00,0.011637,469389.68,2025-04-29 12:00:00,0.01159,467493.89,40335969.85101925,-1895.7906,-0.4039,阶段低点止损,0,否
105,XRPUSDT,2025-04-29 13:00:00,2.2673,468536.58,2025-04-29 13:00:00,2.2662,468309.26,206649.57235212,-227.3145,-0.0485,阶段低点止损,0,否
106,1INCHUSDT,2025-04-29 14:00:00,0.203,468434.28,2025-04-29 14:00:00,0.203,468434.28,2307558.04854999,0.0,0.0,阶段低点止损,0,否
107,EDUUSDT,2025-04-29 15:00:00,0.1482,468434.28,2025-04-29 17:00:00,0.1506,476020.26,3160825.12723109,7585.9803,1.6194,MA5首次上升止损,2,否
108,FLOKIUSDT,2025-04-29 17:00:00,8.493e-05,475261.67,2025-04-29 17:00:00,8.42e-05,471176.64,5595922125.6383705,-4085.0232,-0.8595,阶段低点止损,0,否
109,PSGUSDT,2025-04-29 18:00:00,2.159,470009.71,2025-04-29 18:00:00,2.155,469138.92,217697.87613469,-870.7915,-0.1853,阶段低点止损,0,否
110,AIXBTUSDT,2025-04-29 19:00:00,0.1444,469617.86,2025-04-29 19:00:00,0.1436,467016.1,3252201.23544143,-2601.761,-0.554,阶段低点止损,0,否
111,DYMUSDT,2025-04-29 20:00:00,0.343,468447.07,2025-04-29 20:00:00,0.341,465715.6,1365734.8861603,-2731.4698,-0.5831,阶段低点止损,0,否
112,SEIUSDT,2025-04-29 21:00:00,0.2131,467217.9,2025-04-29 21:00:00,0.213,466998.66,2192481.95474162,-219.2482,-0.0469,阶段低点止损,0,否
