序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,LPTUSDT,2026-01-11 13:00:00,3.211,450000.0,2026-01-11 15:00:00,3.201,448598.57,140143.25755216,-1401.4326,-0.3114,收盘跌破成本,2,否
2,HMSTRUSDT,2026-01-11 13:00:00,0.0002499,450000.0,2026-01-11 15:00:00,0.0002487,447839.14,1800720288.115246,-2160.8643,-0.4802,收盘跌破成本,2,否
3,STXUSDT,2026-01-11 16:00:00,0.379,448396.97,2026-01-11 17:00:00,0.3794,448870.21,1183105.45220431,473.2422,0.1055,MACD趋势转正后止损,1,否
4,TRXUSDT,2026-01-11 16:00:00,0.2988,448396.97,2026-01-11 20:00:00,0.29894,448607.06,1500659.19138364,210.0923,0.0469,MACD趋势转正后止损,4,否
5,INITUSDT,2026-01-11 18:00:00,0.0916,448744.98,2026-01-11 20:00:00,0.0904,442866.23,4898962.71500059,-5878.7553,-1.31,收盘跌破成本,2,否
6,GLMUSDT,2026-01-11 21:00:00,0.2909,223029.51,2026-01-11 23:00:00,0.2955,226556.28,766687.91170469,3526.7644,1.5813,阶段止盈,2,是
7,SAHARAUSDT,2026-01-11 21:00:00,0.0281,446059.03,2026-01-11 23:00:00,0.02778,440979.35,15873986.72703867,-5079.6758,-1.1388,收盘跌破成本,2,否
8,API3USDT,2026-01-12 00:00:00,0.4749,448120.29,2026-01-12 04:00:00,0.4679,441515.02,943609.79869543,-6605.2686,-1.474,收盘跌破成本,4,否
9,GLMUSDT,2026-01-11 21:00:00,0.2909,223029.51,2026-01-12 05:00:00,0.29834,228733.67,766687.91170469,5704.1581,2.5576,MACD下跌后止损,8,否
10,PUMPUSDT,2026-01-12 05:00:00,0.002396,445285.93,2026-01-12 09:00:00,0.002373,441011.48,185845545.22482258,-4274.4475,-0.9599,收盘跌破成本,4,否
11,TRXUSDT,2026-01-12 10:00:00,0.2989,448939.4,2026-01-12 12:00:00,0.299,449089.6,1501971.8939536,150.1972,0.0335,MACD趋势转正后止损,2,否
12,REDUSDT,2026-01-12 13:00:00,0.2609,453872.55,2026-01-12 15:00:00,0.2566,446392.09,1739641.81896493,-7480.4598,-1.6481,收盘跌破成本,2,否
13,RENDERUSDT,2026-01-12 16:00:00,2.472,449579.57,2026-01-12 18:00:00,2.442,444123.51,181868.75800765,-5456.0627,-1.2136,收盘跌破成本,2,否
14,DEXEUSDT,2026-01-12 06:00:00,3.462,445623.76,2026-01-12 20:00:00,3.598,463129.49,128718.5907405,17505.7283,3.9284,MACD下跌后止损,14,否
15,BNSOLUSDT,2026-01-12 19:00:00,152.2,448630.35,2026-01-12 22:00:00,152.38,449160.92,2947.63698471,530.5747,0.1183,MACD趋势转正后止损,3,否
16,FETUSDT,2026-01-12 21:00:00,0.2884,445818.17,2026-01-12 22:00:00,0.2873,444117.75,1545832.75119642,-1700.416,-0.3814,MACD趋势转正后止损,1,否
17,CHZUSDT,2026-01-12 23:00:00,0.0491,444628.52,2026-01-13 01:00:00,0.049,443722.96,9055570.64169873,-905.5571,-0.2037,收盘跌破成本,2,否
18,GLMUSDT,2026-01-12 23:00:00,0.2966,222314.26,2026-01-13 01:00:00,0.3103,232582.99,749542.34407857,10268.7301,4.619,阶段止盈,2,是
19,DCRUSDT,2026-01-13 02:00:00,15.94,454643.4,2026-01-13 05:00:00,15.998,456297.69,28522.17089855,1654.2859,0.3639,MACD趋势转正后止损,3,否
20,EURIUSDT,2026-01-13 06:00:00,1.1671,457613.97,2026-01-13 07:00:00,1.1672,457653.18,392094.91349954,39.2095,0.0086,MACD趋势转正后止损,1,否
21,GLMUSDT,2026-01-12 23:00:00,0.2966,222314.26,2026-01-13 08:00:00,0.31564,236585.55,749542.34407857,14271.2862,6.4194,MACD下跌后止损,9,否
22,MITOUSDT,2026-01-13 08:00:00,0.06937,457091.95,2026-01-13 10:00:00,0.06883,453533.79,6589187.65069454,-3558.1613,-0.7784,收盘跌破成本,2,否
23,KAITOUSDT,2026-01-13 09:00:00,0.6225,456085.4,2026-01-13 14:00:00,0.62466,457667.96,732667.31052893,1582.5614,0.347,MACD趋势转正后止损,5,否
24,DOLOUSDT,2026-01-13 15:00:00,0.06188,463809.48,2026-01-13 18:00:00,0.062124,465638.34,7495305.16288221,1828.8545,0.3943,MACD趋势转正后止损,3,否
25,DUSKUSDT,2026-01-13 19:00:00,0.0709,465570.03,2026-01-13 20:00:00,0.068773,451602.92,6566572.99463708,-13967.1008,-3.0,最大亏损止损,1,否
26,MTLUSDT,2026-01-13 21:00:00,0.405,461863.11,2026-01-14 01:00:00,0.4056,462547.35,1140402.74727338,684.2416,0.1481,MACD趋势转正后止损,4,否
27,PARTIUSDT,2026-01-13 11:00:00,0.0877,228399.38,2026-01-14 03:00:00,0.0986,256786.54,2604325.9270376,28387.1526,12.4287,阶段止盈,16,是
28,ZKPUSDT,2026-01-14 02:00:00,0.1428,472249.76,2026-01-14 04:00:00,0.1424,470926.93,3307071.16754285,-1322.8285,-0.2801,收盘跌破成本,2,否
29,GLMUSDT,2026-01-14 05:00:00,0.3326,476576.67,2026-01-14 07:00:00,0.3325,476433.38,1432882.33889676,-143.2882,-0.0301,收盘跌破成本,2,否
30,PARTIUSDT,2026-01-13 11:00:00,0.0877,228399.38,2026-01-14 10:00:00,0.10682,278194.1,2604325.9270376,49794.7117,21.8016,MACD下跌后止损,23,否
31,ACHUSDT,2026-01-14 08:00:00,0.0108,485770.56,2026-01-14 10:00:00,0.01076,483971.41,44978756.00763246,-1799.1502,-0.3704,收盘跌破成本,2,否
32,1000SATSUSDT,2026-01-14 11:00:00,1.979e-05,483695.24,2026-01-14 12:00:00,1.92e-05,469184.39,24441396911.255825,-14510.8573,-3.0,最大亏损止损,1,否
33,OSMOUSDT,2026-01-14 11:00:00,0.0626,483695.24,2026-01-14 13:00:00,0.0622,480604.54,7726761.10021969,-3090.7044,-0.639,收盘跌破成本,2,否
34,KAITOUSDT,2026-01-14 14:00:00,0.6888,475962.95,2026-01-14 16:00:00,0.6844,472922.54,691003.12552092,-3040.4138,-0.6388,收盘跌破成本,2,否
35,APEUSDT,2026-01-14 13:00:00,0.2276,476469.95,2026-01-14 18:00:00,0.2311,483797.04,2093453.20988109,7327.0862,1.5378,MACD下跌后止损,5,否
