序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,LPTUSDT,2026-01-11 13:00:00,3.211,450000.0,2026-01-11 15:00:00,3.201,448598.57,140143.25755216,-1401.4326,-0.3114,收盘跌破成本,2,否
2,HMSTRUSDT,2026-01-11 13:00:00,0.0002499,450000.0,2026-01-11 15:00:00,0.0002487,447839.14,1800720288.115246,-2160.8643,-0.4802,收盘跌破成本,2,否
3,STXUSDT,2026-01-11 16:00:00,0.379,448396.97,2026-01-11 17:00:00,0.3794,448870.21,1183105.45220431,473.2422,0.1055,MACD趋势转正后止损,1,否
4,TRXUSDT,2026-01-11 16:00:00,0.2988,448396.97,2026-01-11 20:00:00,0.29894,448607.06,1500659.19138364,210.0923,0.0469,MACD趋势转正后止损,4,否
5,INITUSDT,2026-01-11 18:00:00,0.0916,448744.98,2026-01-11 20:00:00,0.0904,442866.23,4898962.71500059,-5878.7553,-1.31,收盘跌破成本,2,否
6,GLMUSDT,2026-01-11 21:00:00,0.2909,223029.51,2026-01-11 23:00:00,0.2955,226556.28,766687.91170469,3526.7644,1.5813,阶段止盈,2,是
7,SAHARAUSDT,2026-01-11 21:00:00,0.0281,446059.03,2026-01-11 23:00:00,0.02778,440979.35,15873986.72703867,-5079.6758,-1.1388,收盘跌破成本,2,否
8,API3USDT,2026-01-12 00:00:00,0.4749,448120.29,2026-01-12 04:00:00,0.4679,441515.02,943609.79869543,-6605.2686,-1.474,收盘跌破成本,4,否
9,GLMUSDT,2026-01-11 21:00:00,0.2909,223029.51,2026-01-12 05:00:00,0.29834,228733.67,766687.91170469,5704.1581,2.5576,MACD下跌后止损,8,否
10,PUMPUSDT,2026-01-12 05:00:00,0.002396,445285.93,2026-01-12 08:00:00,0.00234709,436195.89,185845545.22482258,-9090.0401,-2.0414,ATR止损,3,否
11,AMPUSDT,2026-01-12 09:00:00,0.002171,444049.98,2026-01-12 13:00:00,0.002209,451822.39,204537072.4270514,7772.4088,1.7503,MACD下跌后止损,4,否
12,USD1USDT,2026-01-12 14:00:00,1.0009,455425.15,2026-01-12 14:00:00,1.0007479,455355.94,455015.63186227,-69.2079,-0.0152,ATR止损,0,否
13,SYRUPUSDT,2026-01-12 15:00:00,0.3958,454525.15,2026-01-12 16:00:00,0.3914203,449495.63,1148370.77286137,-5029.5195,-1.1065,ATR止损,1,否
14,DEXEUSDT,2026-01-12 06:00:00,3.462,445623.76,2026-01-12 20:00:00,3.598,463129.49,128718.5907405,17505.7283,3.9284,MACD下跌后止损,14,否
15,GNOUSDT,2026-01-12 17:00:00,138.59,452841.1,2026-01-12 22:00:00,138.946,454004.33,3267.48756616,1163.2256,0.2569,MACD趋势转正后止损,5,否
16,FETUSDT,2026-01-12 21:00:00,0.2884,451577.04,2026-01-12 22:00:00,0.28228879,442008.1,1565801.12184896,-9568.9395,-2.119,ATR止损,1,否
17,CHZUSDT,2026-01-12 23:00:00,0.0491,446162.36,2026-01-13 01:00:00,0.049,445253.68,9086809.82172725,-908.681,-0.2037,收盘跌破成本,2,否
18,GLMUSDT,2026-01-12 23:00:00,0.2966,223081.18,2026-01-13 01:00:00,0.3103,233385.34,752128.05503508,10304.1544,4.619,阶段止盈,2,是
19,DCRUSDT,2026-01-13 02:00:00,15.94,456211.8,2026-01-13 05:00:00,15.998,457871.79,28620.5643921,1659.9927,0.3639,MACD趋势转正后止损,3,否
20,EURIUSDT,2026-01-13 06:00:00,1.1671,459192.61,2026-01-13 07:00:00,1.1672,459231.96,393447.5310292,39.3448,0.0086,MACD趋势转正后止损,1,否
21,GLMUSDT,2026-01-12 23:00:00,0.2966,223081.18,2026-01-13 08:00:00,0.31564,237401.7,752128.05503508,14320.5182,6.4194,MACD下跌后止损,9,否
22,MITOUSDT,2026-01-13 08:00:00,0.06937,458668.79,2026-01-13 10:00:00,0.06883,455098.35,6611918.50084262,-3570.436,-0.7784,收盘跌破成本,2,否
23,KAITOUSDT,2026-01-13 09:00:00,0.6225,457658.77,2026-01-13 14:00:00,0.62466,459246.79,735194.80735052,1588.0208,0.347,MACD趋势转正后止损,5,否
24,DOLOUSDT,2026-01-13 15:00:00,0.06188,465409.5,2026-01-13 18:00:00,0.062124,467244.66,7521161.86442168,1835.1635,0.3943,MACD趋势转正后止损,3,否
25,DUSKUSDT,2026-01-13 19:00:00,0.0709,467176.11,2026-01-13 20:00:00,0.068773,453160.83,6589225.83056167,-14015.2833,-3.0,最大亏损止损,1,否
26,MTLUSDT,2026-01-13 21:00:00,0.405,463456.41,2026-01-14 01:00:00,0.4056,464143.01,1144336.81704509,686.6021,0.1481,MACD趋势转正后止损,4,否
27,PARTIUSDT,2026-01-13 11:00:00,0.0877,229187.3,2026-01-14 03:00:00,0.0986,257672.38,2613310.12137573,28485.0803,12.4287,阶段止盈,16,是
28,ZKPUSDT,2026-01-14 02:00:00,0.1428,473878.89,2026-01-14 04:00:00,0.1424,472551.5,3318479.6359495,-1327.3919,-0.2801,收盘跌破成本,2,否
29,GLMUSDT,2026-01-14 05:00:00,0.3326,478220.72,2026-01-14 07:00:00,0.3325,478076.94,1437825.38126433,-143.7825,-0.0301,收盘跌破成本,2,否
30,PARTIUSDT,2026-01-13 11:00:00,0.0877,229187.3,2026-01-14 10:00:00,0.10682,279153.79,2613310.12137573,49966.4895,21.8016,MACD下跌后止损,23,否
31,ACHUSDT,2026-01-14 08:00:00,0.0108,487446.34,2026-01-14 10:00:00,0.01076,485640.98,45133920.10628254,-1805.3568,-0.3704,收盘跌破成本,2,否
32,1000SATSUSDT,2026-01-14 11:00:00,1.979e-05,485363.86,2026-01-14 12:00:00,1.92e-05,470802.94,24525712878.5725,-14560.9157,-3.0,最大亏损止损,1,否
33,OSMOUSDT,2026-01-14 11:00:00,0.0626,485363.86,2026-01-14 13:00:00,0.0622,482262.49,7753416.25985543,-3101.3665,-0.639,收盘跌破成本,2,否
34,KAITOUSDT,2026-01-14 14:00:00,0.6888,477604.89,2026-01-14 16:00:00,0.6844,474553.99,693386.89258459,-3050.9023,-0.6388,收盘跌破成本,2,否
35,APEUSDT,2026-01-14 13:00:00,0.2276,478113.64,2026-01-14 18:00:00,0.2311,485466.0,2100675.03656572,7352.3626,1.5378,MACD下跌后止损,5,否
