序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-04-10 18:00:00,6.7146,450000.0,2025-04-10 19:00:00,6.678,447547.14,67018.13957645,-2452.8639,-0.5451,阶段低点止损,1,否
2,OMUSDT,2025-04-10 21:00:00,6.6104,448896.21,2025-04-10 21:00:00,6.6079,448726.44,67907.5715904,-169.7689,-0.0378,阶段低点止损,0,否
3,OMUSDT,2025-04-10 22:00:00,6.425,448819.82,2025-04-10 22:00:00,6.4109,447834.86,69855.22415924,-984.9587,-0.2195,阶段低点止损,0,否
4,OMUSDT,2025-04-10 23:00:00,6.4377,448376.58,2025-04-10 23:00:00,6.4089,446370.71,69648.5676291,-2005.8787,-0.4474,阶段低点止损,0,否
5,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.5e-07,230839.73,355138046340.77246,7102.7609,3.1746,阶段止盈,0,是
6,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.3e-07,223736.97,355138046340.77246,0.0,0.0,阶段低点止损,0,否
7,CRVUSDT,2025-04-23 16:00:00,0.6742,452070.42,2025-04-23 16:00:00,0.6699,449187.15,670528.6589655,-2883.2732,-0.6378,阶段低点止损,0,否
8,OSMOUSDT,2025-04-23 17:00:00,0.2418,451239.7,2025-04-23 18:00:00,0.2409,449560.14,1866169.13127436,-1679.5522,-0.3722,阶段低点止损,1,否
9,STXUSDT,2025-04-23 19:00:00,0.806,453051.01,2025-04-23 21:00:00,0.797,447992.12,562098.02241789,-5058.8822,-1.1166,阶段低点止损,2,否
10,MLNUSDT,2025-04-23 15:00:00,8.69,450670.18,2025-04-23 23:00:00,8.785,455596.95,51860.78029994,4926.7741,1.0932,MA5首次上升止损,8,否
11,SPELLUSDT,2025-04-23 22:00:00,0.0005792,449140.89,2025-04-23 23:00:00,0.0005785,448598.08,775450439.3967196,-542.8153,-0.1209,阶段低点止损,1,否
12,LPTUSDT,2025-04-24 00:00:00,5.242,448313.19,2025-04-24 00:00:00,5.214,445918.54,85523.3105364,-2394.6527,-0.5341,阶段低点止损,0,否
13,IMXUSDT,2025-04-24 02:00:00,0.597,447196.5,2025-04-24 05:00:00,0.587,439705.77,749072.86181332,-7490.7286,-1.675,阶段低点止损,3,否
14,LPTUSDT,2025-04-24 01:00:00,5.147,447235.6,2025-04-24 07:00:00,5.1505,447539.72,86892.48108005,304.1237,0.068,MA5首次上升止损,6,否
15,VIRTUALUSDT,2025-04-24 08:00:00,0.7263,445730.06,2025-04-24 08:00:00,0.722,443091.15,613699.6518013,-2638.9085,-0.592,阶段低点止损,0,否
16,KAVAUSDT,2025-04-24 06:00:00,0.4389,443630.16,2025-04-24 09:00:00,0.44175,446510.88,1010777.31269529,2880.7153,0.6494,MA5首次上升止损,3,否
17,COOKIEUSDT,2025-04-24 09:00:00,0.1215,445406.76,2025-04-24 09:00:00,0.1204,441374.27,3665899.28295808,-4032.4892,-0.9053,阶段低点止损,0,否
18,PENGUUSDT,2025-04-24 10:00:00,0.006473,442295.82,2025-04-24 10:00:00,0.006452,440860.9,68329340.46513367,-1434.9161,-0.3244,阶段低点止损,0,否
19,ADAUSDT,2025-04-24 11:00:00,0.686,441650.11,2025-04-24 11:00:00,0.686,441650.11,643804.82297874,0.0,0.0,阶段低点止损,0,否
20,COOKIEUSDT,2025-04-24 12:00:00,0.1168,441650.11,2025-04-24 12:00:00,0.1166,440893.86,3781250.92948129,-756.2502,-0.1712,阶段低点止损,0,否
21,SANDUSDT,2025-04-24 13:00:00,0.2893,441309.8,2025-04-24 13:00:00,0.2892,441157.25,1525440.01375652,-152.544,-0.0346,阶段低点止损,0,否
22,AAVEUSDT,2025-04-24 14:00:00,164.15,441241.15,2025-04-24 14:00:00,164.14,441214.27,2688.03625452,-26.8804,-0.0061,阶段低点止损,0,否
23,APTUSDT,2025-04-24 15:00:00,5.267,441229.06,2025-04-24 15:00:00,5.264,440977.74,83772.3666254,-251.3171,-0.057,阶段低点止损,0,否
24,WOOUSDT,2025-04-24 16:00:00,0.0672,441115.96,2025-04-24 16:00:00,0.067,439803.12,6564225.62977757,-1312.8451,-0.2976,阶段低点止损,0,否
25,1000CHEEMSUSDT,2025-04-24 17:00:00,0.001448,440525.18,2025-04-24 18:00:00,0.001441,438395.57,304230098.0762242,-2129.6107,-0.4834,阶段低点止损,1,否
26,BIGTIMEUSDT,2025-04-24 18:00:00,0.07398,442031.12,2025-04-24 19:00:00,0.07352,439282.62,5975008.39415856,-2748.5039,-0.6218,阶段低点止损,1,否
27,LUNCUSDT,2025-04-24 20:00:00,6.312e-05,437812.65,2025-04-24 22:00:00,6.315e-05,437986.06,6936195373.273542,173.4049,0.0396,MA5首次上升止损,2,否
28,CVCUSDT,2025-04-24 23:00:00,0.1127,443064.47,2025-04-25 01:00:00,0.1125,442278.2,3931361.75001892,-786.2724,-0.1775,MA5下跌破线,2,否
29,BARUSDT,2025-04-25 03:00:00,1.853,444780.16,2025-04-25 03:00:00,1.844,442619.87,240032.466647,-2160.2922,-0.4857,阶段低点止损,0,否
30,TSTUSDT,2025-04-24 19:00:00,0.0766,440346.6,2025-04-25 08:00:00,0.0786,451843.9,5748650.07572938,11497.3002,2.611,MA5下跌破线,13,否
31,SYSUSDT,2025-04-25 04:00:00,0.0438,222162.7,2025-04-25 08:00:00,0.046,233321.56,5072207.85061402,11158.8573,5.0228,阶段止盈,4,是
32,SYSUSDT,2025-04-25 04:00:00,0.0438,222162.7,2025-04-25 10:00:00,0.0447,226727.69,5072207.85061402,4564.9871,2.0548,阶段止盈后止损,6,否
33,TURBOUSDT,2025-04-25 09:00:00,0.004244,451385.87,2025-04-25 10:00:00,0.004238,450747.72,106358592.79397517,-638.1516,-0.1414,MA5下跌破线,1,否
34,TURBOUSDT,2025-04-25 12:00:00,0.004236,450612.92,2025-04-25 12:00:00,0.004193,446038.71,106376986.78454289,-4574.2104,-1.0151,阶段低点止损,0,否
35,IDEXUSDT,2025-04-25 13:00:00,0.02687,224669.38,2025-04-25 15:00:00,0.02819,235706.35,8361346.32705453,11036.9772,4.9125,阶段止盈,2,是
36,TSTUSDT,2025-04-25 11:00:00,0.0773,449044.46,2025-04-25 20:00:00,0.0803,466471.8,5809113.26568678,17427.3398,3.881,MA5下跌破线,9,否
37,IDEXUSDT,2025-04-25 13:00:00,0.02687,224669.38,2025-04-25 20:00:00,0.02774,231943.75,8361346.32705453,7274.3713,3.2378,MA5下跌破线,7,否
38,EGLDUSDT,2025-04-25 21:00:00,17.79,463068.47,2025-04-25 21:00:00,17.75,462027.28,26029.70604032,-1041.1882,-0.2248,阶段低点止损,0,否
39,EGLDUSDT,2025-04-25 22:00:00,17.69,462599.94,2025-04-25 22:00:00,17.53,458415.88,26150.36380715,-4184.0582,-0.9045,阶段低点止损,0,否
40,EGLDUSDT,2025-04-25 23:00:00,17.68,460717.11,2025-04-25 23:00:00,17.52,456547.72,26058.66004267,-4169.3856,-0.905,阶段低点止损,0,否
41,IDEXUSDT,2025-04-26 00:00:00,0.02735,458840.89,2025-04-26 01:00:00,0.0273,458002.05,16776632.03039793,-838.8316,-0.1828,阶段低点止损,1,否
42,TSTUSDT,2025-04-26 01:00:00,0.0788,459293.86,2025-04-26 01:00:00,0.0785,457545.27,5828602.22203305,-1748.5807,-0.3807,阶段低点止损,0,否
43,REDUSDT,2025-04-26 03:00:00,0.4089,459938.83,2025-04-26 03:00:00,0.4086,459601.38,1124819.83379302,-337.446,-0.0734,阶段低点止损,0,否
44,HIGHUSDT,2025-04-26 04:00:00,0.524,460483.07,2025-04-26 04:00:00,0.521,457846.71,878784.47589463,-2636.3534,-0.5725,阶段低点止损,0,否
45,NOTUSDT,2025-04-26 02:00:00,0.002367,457676.55,2025-04-26 05:00:00,0.002384,460963.62,193357224.55036965,3287.0728,0.7182,MA5首次上升止损,3,否
46,CETUSUSDT,2025-04-26 05:00:00,0.1885,458600.62,2025-04-26 05:00:00,0.187,454951.28,2432894.53749573,-3649.3418,-0.7958,阶段低点止损,0,否
47,CETUSUSDT,2025-04-26 06:00:00,0.1855,456175.32,2025-04-26 06:00:00,0.1848,454453.9,2459166.1441817,-1721.4163,-0.3774,阶段低点止损,0,否
48,QNTUSDT,2025-04-26 08:00:00,74.6,454199.07,2025-04-26 08:00:00,74.5,453590.22,6088.45932267,-608.8459,-0.134,阶段低点止损,0,否
49,PENDLEUSDT,2025-04-26 09:00:00,3.589,456437.56,2025-04-26 11:00:00,3.6315,461842.57,127176.80595807,5405.0143,1.1842,MA5首次上升止损,2,否
50,ENSUSDT,2025-04-26 12:00:00,18.15,471978.36,2025-04-26 13:00:00,18.09,470418.1,26004.31743389,-1560.259,-0.3306,阶段低点止损,1,否
51,CETUSUSDT,2025-04-26 07:00:00,0.1876,455400.68,2025-04-26 15:00:00,0.194,470936.74,2427508.9680719,15536.0574,3.4115,MA5下跌破线,8,否
52,DEGOUSDT,2025-04-26 14:00:00,2.199,471713.2,2025-04-26 16:00:00,2.194,470640.63,214512.59502892,-1072.563,-0.2274,阶段低点止损,2,否
53,BCHUSDT,2025-04-26 16:00:00,369.2,465199.5,2025-04-26 16:00:00,369.0,464947.49,1260.02030542,-252.0041,-0.0542,阶段低点止损,0,否
54,IDEXUSDT,2025-04-26 17:00:00,0.02757,463252.01,2025-04-26 17:00:00,0.02752,462411.87,16802757.06368321,-840.1379,-0.1814,阶段低点止损,0,否
55,GUSDT,2025-04-26 18:00:00,0.01504,462873.95,2025-04-26 19:00:00,0.01503,462566.19,30776193.49812588,-307.7619,-0.0665,阶段低点止损,1,否
56,CTKUSDT,2025-04-26 19:00:00,0.3636,463843.4,2025-04-26 19:00:00,0.3634,463588.26,1275696.92053632,-255.1394,-0.055,阶段低点止损,0,否
57,IDUSDT,2025-04-26 20:00:00,0.2062,462620.64,2025-04-26 20:00:00,0.206,462171.93,2243553.07768295,-448.7106,-0.097,阶段低点止损,0,否
58,ONDOUSDT,2025-04-26 21:00:00,0.994,462418.72,2025-04-26 21:00:00,0.9939,462372.2,465209.98474973,-46.521,-0.0101,阶段低点止损,0,否
59,WLDUSDT,2025-04-26 22:00:00,1.081,462397.79,2025-04-26 22:00:00,1.075,459831.29,427750.03736533,-2566.5002,-0.555,阶段低点止损,0,否
60,CKBUSDT,2025-04-27 00:00:00,0.005193,465576.69,2025-04-27 00:00:00,0.00514,460824.99,89654667.98978387,-4751.6974,-1.0206,阶段低点止损,0,否
61,FORTHUSDT,2025-04-27 01:00:00,2.78,463438.43,2025-04-27 01:00:00,2.766,461104.56,166704.47015805,-2333.8626,-0.5036,阶段低点止损,0,否
62,LPTUSDT,2025-04-26 23:00:00,5.364,461242.87,2025-04-27 02:00:00,5.42,466058.23,85988.60277611,4815.3618,1.044,MA5首次上升止损,3,否
63,FORTHUSDT,2025-04-27 02:00:00,2.778,460995.17,2025-04-27 02:00:00,2.766,459003.83,165944.98686552,-1991.3398,-0.432,阶段低点止损,0,否
64,SHIBUSDT,2025-04-27 03:00:00,1.409e-05,459325.17,2025-04-27 03:00:00,1.409e-05,459325.17,32599373538.563793,0.0,0.0,阶段低点止损,0,否
65,TKOUSDT,2025-04-27 04:00:00,0.1786,459325.17,2025-04-27 04:00:00,0.1781,458039.27,2571809.48017001,-1285.9047,-0.28,阶段低点止损,0,否
66,SHIBUSDT,2025-04-27 05:00:00,1.408e-05,458746.52,2025-04-27 05:00:00,1.407e-05,458420.7,32581428694.980503,-325.8143,-0.071,阶段低点止损,0,否
67,DCRUSDT,2025-04-27 07:00:00,14.12,461170.87,2025-04-27 07:00:00,14.08,459864.44,32660.82660916,-1306.4331,-0.2833,阶段低点止损,0,否
68,IOTAUSDT,2025-04-27 06:00:00,0.2087,458599.9,2025-04-27 09:00:00,0.21,461456.54,2197412.0728136,2856.6357,0.6229,MA5首次上升止损,3,否
69,DCRUSDT,2025-04-27 08:00:00,14.11,460582.98,2025-04-27 09:00:00,14.08,459603.71,32642.30877693,-979.2693,-0.2126,阶段低点止损,1,否
70,1000SATSUSDT,2025-04-27 10:00:00,4.87e-05,458856.82,2025-04-27 10:00:00,4.85e-05,456972.4,9422111285.65381,-1884.4223,-0.4107,阶段低点止损,0,否
71,SSVUSDT,2025-04-27 11:00:00,6.6,458008.83,2025-04-27 12:00:00,6.645,461131.62,69395.27721146,3122.7875,0.6818,MA5首次上升止损,1,否
72,TRXUSDT,2025-04-27 12:00:00,0.2516,460819.34,2025-04-27 13:00:00,0.252,461551.96,1831555.39873885,732.6222,0.159,MA5首次上升止损,1,否
73,WBETHUSDT,2025-04-27 13:00:00,1918.33,460073.44,2025-04-27 13:00:00,1917.94,459979.91,239.83018766,-93.5338,-0.0203,阶段低点止损,0,否
74,ANKRUSDT,2025-04-27 15:00:00,0.02029,458724.15,2025-04-27 18:00:00,0.0206,465732.75,22608385.9024005,7008.5996,1.5278,MA5首次上升止损,3,否
75,ARPAUSDT,2025-04-27 19:00:00,0.0271,465809.84,2025-04-27 19:00:00,0.02696,463403.44,17188554.89434652,-2406.3977,-0.5166,阶段低点止损,0,否
76,KAITOUSDT,2025-04-27 14:00:00,0.9523,459701.67,2025-04-27 20:00:00,0.96105,463925.54,482727.78928174,4223.8682,0.9188,MA5首次上升止损,6,否
77,ARPAUSDT,2025-04-27 20:00:00,0.02696,464900.74,2025-04-27 20:00:00,0.02694,464555.86,17244092.75528888,-344.8819,-0.0742,阶段低点止损,0,否
78,ENSUSDT,2025-04-27 21:00:00,18.39,463518.21,2025-04-27 21:00:00,18.35,462510.01,25204.90529872,-1008.1962,-0.2175,阶段低点止损,0,否
79,TRXUSDT,2025-04-27 22:00:00,0.2487,463064.52,2025-04-27 23:00:00,0.2482,462133.55,1861940.16947392,-930.9701,-0.201,阶段低点止损,1,否
80,WLDUSDT,2025-04-27 23:00:00,1.138,462896.95,2025-04-27 23:00:00,1.133,460863.13,406763.57252453,-2033.8179,-0.4394,阶段低点止损,0,否
81,WLDUSDT,2025-04-28 01:00:00,1.119,462648.0,2025-04-28 01:00:00,1.116,461407.66,413447.72122639,-1240.3432,-0.2681,阶段低点止损,0,否
82,STEEMUSDT,2025-04-28 00:00:00,0.1585,461730.37,2025-04-28 03:00:00,0.15955,464789.15,2913125.33483819,3058.7816,0.6625,MA5首次上升止损,3,否
83,VIRTUALUSDT,2025-04-28 02:00:00,1.0598,463925.11,2025-04-28 04:00:00,1.0763,471147.95,437747.79636688,7222.8386,1.5569,MA5首次上升止损,2,否
84,TRXUSDT,2025-04-28 04:00:00,0.2476,469049.22,2025-04-28 04:00:00,0.2475,468859.78,1894382.94686978,-189.4383,-0.0404,阶段低点止损,0,否
85,RAREUSDT,2025-04-28 05:00:00,0.0642,465713.69,2025-04-28 06:00:00,0.0637,462086.64,7254107.36798012,-3627.0537,-0.7788,阶段低点止损,1,否
86,TURBOUSDT,2025-04-28 06:00:00,0.005049,464734.39,2025-04-28 06:00:00,0.005013,461420.77,92044838.29068059,-3313.6142,-0.713,阶段低点止损,0,否
87,JSTUSDT,2025-04-28 07:00:00,0.04085,462590.39,2025-04-28 07:00:00,0.04083,462363.91,11324122.21508492,-226.4824,-0.049,阶段低点止损,0,否
88,RAREUSDT,2025-04-28 08:00:00,0.0636,462488.48,2025-04-28 08:00:00,0.0631,458852.56,7271831.37399817,-3635.9157,-0.7862,阶段低点止损,0,否
89,NOTUSDT,2025-04-28 09:00:00,0.002534,460852.31,2025-04-28 09:00:00,0.002533,460670.45,181867526.9641412,-181.8675,-0.0395,阶段低点止损,0,否
90,NOTUSDT,2025-04-28 11:00:00,0.002537,461972.48,2025-04-28 18:00:00,0.002552,464703.89,182094001.9193569,2731.41,0.5912,MA5首次上升止损,7,否
91,PENGUUSDT,2025-04-28 20:00:00,0.012262,469612.34,2025-04-28 21:00:00,0.012031,460765.46,38298184.39128016,-8846.8806,-1.8839,阶段低点止损,1,否
92,PSGUSDT,2025-04-28 10:00:00,2.07,230385.24,2025-04-28 22:00:00,2.241,249417.06,111297.21568599,19031.8239,8.2609,阶段止盈,12,是
93,HEIUSDT,2025-04-28 22:00:00,0.3667,470238.95,2025-04-28 22:00:00,0.3664,469854.24,1282353.27370549,-384.706,-0.0818,阶段低点止损,0,否
94,YFIUSDT,2025-04-28 23:00:00,5950.0,473721.94,2025-04-28 23:00:00,5938.0,472766.54,79.61713299,-955.4056,-0.2017,阶段低点止损,0,否
95,PSGUSDT,2025-04-28 10:00:00,2.07,230385.24,2025-04-29 00:00:00,2.143,238509.93,111297.21568599,8124.6967,3.5266,阶段止盈后止损,14,否
96,PENGUUSDT,2025-04-29 00:00:00,0.011572,470988.16,2025-04-29 00:00:00,0.011474,466999.49,40700670.2755162,-3988.6657,-0.8469,阶段低点止损,0,否
97,SUIUSDT,2025-04-29 02:00:00,3.6084,472229.38,2025-04-29 02:00:00,3.5263,461485.0,130869.46560799,-10744.3831,-2.2752,阶段低点止损,0,否
98,NEXOUSDT,2025-04-29 03:00:00,1.2,468078.31,2025-04-29 05:00:00,1.211,472369.03,390065.259411,4290.7179,0.9167,MA5首次上升止损,2,否
99,BROCCOLI714USDT,2025-04-29 01:00:00,0.03694,467841.0,2025-04-29 07:00:00,0.03803,481645.72,12664888.89275957,13804.7289,2.9507,MA5首次上升止损,6,否
100,ZECUSDT,2025-04-29 07:00:00,35.78,476563.21,2025-04-29 07:00:00,35.64,474698.52,13319.26255811,-1864.6968,-0.3913,阶段低点止损,0,否
101,ZECUSDT,2025-04-29 08:00:00,35.66,470309.86,2025-04-29 08:00:00,35.53,468595.33,13188.72296092,-1714.534,-0.3646,阶段低点止损,0,否
102,ZECUSDT,2025-04-29 09:00:00,35.66,469538.32,2025-04-29 10:00:00,35.68,469801.66,13167.08694597,263.3417,0.0561,MA5下跌破线,1,否
103,PENGUUSDT,2025-04-29 11:00:00,0.011656,471903.9,2025-04-29 11:00:00,0.011611,470082.03,40485921.00232117,-1821.8664,-0.3861,阶段低点止损,0,否
104,HOOKUSDT,2025-04-29 10:00:00,0.1506,470012.34,2025-04-29 12:00:00,0.1498,467515.59,3120931.8434483,-2496.7455,-0.5312,MA5下跌破线,2,否
105,PENGUUSDT,2025-04-29 12:00:00,0.011637,471926.71,2025-04-29 12:00:00,0.01159,470020.67,40553983.57828388,-1906.0372,-0.4039,阶段低点止损,0,否
106,XRPUSDT,2025-04-29 13:00:00,2.2673,466855.73,2025-04-29 13:00:00,2.2662,466629.23,205908.23100567,-226.4991,-0.0485,阶段低点止损,0,否
107,1INCHUSDT,2025-04-29 14:00:00,0.203,466753.81,2025-04-29 14:00:00,0.203,466753.81,2299279.84031924,0.0,0.0,阶段低点止损,0,否
108,EDUUSDT,2025-04-29 15:00:00,0.1482,466753.81,2025-04-29 17:00:00,0.1506,474312.57,3149485.88113904,7558.7661,1.6194,MA5首次上升止损,2,否
109,FLOKIUSDT,2025-04-29 16:00:00,8.54e-05,469588.34,2025-04-29 17:00:00,8.42e-05,462989.91,5498692562.972259,-6598.4311,-1.4052,阶段低点止损,1,否
110,PSGUSDT,2025-04-29 18:00:00,2.159,467185.96,2025-04-29 18:00:00,2.155,466320.4,216389.97607801,-865.5599,-0.1853,阶段低点止损,0,否
111,AIXBTUSDT,2025-04-29 19:00:00,0.1444,466796.46,2025-04-29 19:00:00,0.1436,464210.33,3232662.44041198,-2586.13,-0.554,阶段低点止损,0,否
112,DYMUSDT,2025-04-29 20:00:00,0.343,465632.7,2025-04-29 20:00:00,0.341,462917.64,1357529.73153627,-2715.0595,-0.5831,阶段低点止损,0,否
