序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 03:00:00,5.2074,400000.0,2025-02-01 05:00:00,5.2389,402419.63,76813.76502669,2419.6336,0.6049,MA5下跌破线,2,否
2,OMUSDT,2025-02-11 05:00:00,6.0374,400967.85,2025-02-11 09:00:00,6.0589,402395.75,66413.99500436,1427.9009,0.3561,MA5首次上升止损,4,否
3,COOKIEUSDT,2025-02-12 02:00:00,0.2209,401539.01,2025-02-12 03:00:00,0.216513,393564.58,1817741.12175814,-7974.4303,-1.986,阶段低点止损,1,否
4,RUNEUSDT,2025-02-12 03:00:00,1.348,398994.18,2025-02-12 03:00:00,1.32957,393539.09,295989.74497471,-5455.091,-1.3672,阶段低点止损,0,否
5,SCRUSDT,2025-02-12 07:00:00,0.624,396167.21,2025-02-12 09:00:00,0.6285,399024.18,634883.3417884,2856.975,0.7212,MA5首次上升止损,2,否
6,RPLUSDT,2025-02-12 12:00:00,8.97,397310.0,2025-02-12 12:00:00,8.8803,393336.9,44293.19902912,-3973.1,-1.0,阶段低点止损,0,否
7,ADXUSDT,2025-02-12 14:00:00,0.1521,395720.76,2025-02-12 14:00:00,0.150084,390475.7,2601714.3675872,-5245.0562,-1.3254,阶段低点止损,0,否
8,USTCUSDT,2025-02-13 19:00:00,0.01873,393622.73,2025-02-13 22:00:00,0.0184833,388438.18,21015629.08937486,-5184.5557,-1.3171,阶段低点止损,3,否
9,SXPUSDT,2025-02-13 20:00:00,0.2438,395472.11,2025-02-13 22:00:00,0.24405,395877.64,1622116.93274756,405.5292,0.1025,MA5首次上升止损,2,否
10,C98USDT,2025-02-14 04:00:00,0.1036,394731.86,2025-02-14 06:00:00,0.10445,397970.49,3810153.10659867,3238.6301,0.8205,MA5首次上升止损,2,否
11,QNTUSDT,2025-02-14 07:00:00,91.2,396421.32,2025-02-14 12:00:00,92.0,399898.7,4346.7250374,3477.38,0.8772,MA5首次上升止损,5,否
12,RONINUSDT,2025-02-14 02:00:00,1.193,391711.12,2025-02-14 13:00:00,1.228,403203.07,328341.25922777,11491.9441,2.9338,MA5下跌破线,11,否
13,THEUSDT,2025-02-14 21:00:00,0.6868,398994.3,2025-02-14 23:00:00,0.675576,392473.76,580946.86073985,-6520.5476,-1.6342,阶段低点止损,2,否
14,BOMEUSDT,2025-02-15 14:00:00,0.002325,396386.08,2025-02-15 14:00:00,0.00228888,390228.04,170488638.67963406,-6158.0496,-1.5535,阶段低点止损,0,否
15,LRCUSDT,2025-02-15 17:00:00,0.14,393922.87,2025-02-15 19:00:00,0.137412,386640.92,2813734.75056076,-7281.9455,-1.8486,阶段低点止损,2,否
16,PNUTUSDT,2025-02-15 19:00:00,0.1687,392909.92,2025-02-15 19:00:00,0.166518,387827.94,2329045.17230767,-5081.9766,-1.2934,阶段低点止损,0,否
17,ASRUSDT,2025-02-16 00:00:00,1.525,388977.3,2025-02-16 00:00:00,1.50381,383572.42,255067.07950055,-5404.8714,-1.3895,阶段低点止损,0,否
18,OGUSDT,2025-02-16 06:00:00,3.956,386815.35,2025-02-16 10:00:00,3.959,387108.69,97779.41043288,293.3382,0.0758,MA5首次上升止损,4,否
19,OSMOUSDT,2025-02-16 11:00:00,0.3312,386932.68,2025-02-16 13:00:00,0.3325,388451.44,1168275.00895232,1518.7575,0.3925,MA5下跌破线,2,否
20,TUSDUSDT,2025-02-16 12:00:00,0.9984,387680.38,2025-02-16 14:00:00,0.9984,387680.38,388301.66162934,0.0,0.0,MA5首次上升止损,2,否
21,ACMUSDT,2025-02-16 15:00:00,1.276,387540.19,2025-02-16 16:00:00,1.25928,382462.07,303714.87928657,-5078.1128,-1.3103,阶段低点止损,1,否
22,OSMOUSDT,2025-02-16 16:00:00,0.323,388026.13,2025-02-16 20:00:00,0.32555,391089.49,1201319.28723381,3063.3642,0.7895,MA5首次上升止损,4,否
23,CITYUSDT,2025-02-16 18:00:00,1.319,387238.84,2025-02-16 22:00:00,1.4045,412340.37,293585.17106187,25101.5321,6.4822,MA5首次上升止损,4,否
24,HIVEUSDT,2025-02-16 21:00:00,0.3305,387438.89,2025-02-16 23:00:00,0.3329,390252.37,1172281.06184727,2813.4745,0.7262,MA5首次上升止损,2,否
