序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-31 23:00:00,5.2926,400000.0,2025-02-01 00:00:00,5.2675,398103.01,75577.22102558,-1896.9882,-0.4742,阶段低点止损,1,否
2,OMUSDT,2025-02-01 03:00:00,5.2074,399241.2,2025-02-01 05:00:00,5.2389,401656.25,76668.05021717,2415.0436,0.6049,MA5下跌破线,2,否
3,OMUSDT,2025-02-05 05:00:00,5.8035,400207.22,2025-02-05 05:00:00,5.7965,399724.5,68959.63162465,-482.7174,-0.1206,阶段低点止损,0,否
4,OMUSDT,2025-02-05 21:00:00,5.7616,400014.14,2025-02-05 22:00:00,5.744,398792.21,69427.6130181,-1221.926,-0.3055,阶段低点止损,1,否
5,OMUSDT,2025-02-08 06:00:00,5.9754,399525.36,2025-02-08 06:00:00,5.9637,398743.08,66861.69373924,-782.2818,-0.1958,阶段低点止损,0,否
6,OMUSDT,2025-02-08 10:00:00,5.9856,399212.45,2025-02-08 10:00:00,5.9401,396177.81,66695.47782056,-3034.6442,-0.7602,阶段低点止损,0,否
7,OMUSDT,2025-02-11 00:00:00,6.084,397998.59,2025-02-11 02:00:00,6.0444,395408.07,65417.25745339,-2590.5234,-0.6509,阶段低点止损,2,否
8,PROMUSDT,2025-02-11 11:00:00,5.675,396962.38,2025-02-11 11:00:00,5.656,395633.35,69949.31894068,-1329.0371,-0.3348,阶段低点止损,0,否
9,TNSRUSDT,2025-02-11 18:00:00,0.3468,396430.77,2025-02-11 18:00:00,0.3461,395630.59,1143110.64061245,-800.1774,-0.2018,阶段低点止损,0,否
10,SUNUSDT,2025-02-12 02:00:00,0.01967,396110.7,2025-02-12 02:00:00,0.01966,395909.32,20137808.80452603,-201.3781,-0.0508,阶段低点止损,0,否
11,TAOUSDT,2025-02-12 11:00:00,403.3,396030.15,2025-02-12 11:00:00,401.9,394655.38,981.97408368,-1374.7637,-0.3471,阶段低点止损,0,否
12,IDEXUSDT,2025-02-13 00:00:00,0.04358,395480.24,2025-02-13 00:00:00,0.04351,394845.01,9074810.52003088,-635.2367,-0.1606,阶段低点止损,0,否
13,KAVAUSDT,2025-02-13 12:00:00,0.4943,395226.15,2025-02-13 12:00:00,0.4899,391708.05,799567.36348045,-3518.0964,-0.8901,阶段低点止损,0,否
14,XVSUSDT,2025-02-14 00:00:00,7.74,393818.91,2025-02-14 00:00:00,7.73,393310.1,50880.99602179,-508.81,-0.1292,阶段低点止损,0,否
15,ADAUSDT,2025-02-14 14:00:00,0.7981,393615.39,2025-02-14 14:00:00,0.7965,392826.28,493190.5591086,-789.1049,-0.2005,阶段低点止损,0,否
16,NEXOUSDT,2025-02-15 07:00:00,1.368,393299.74,2025-02-15 07:00:00,1.366,392724.74,287499.81232949,-574.9996,-0.1462,阶段低点止损,0,否
17,LRCUSDT,2025-02-15 22:00:00,0.1365,393069.74,2025-02-15 22:00:00,0.1361,391917.89,2879631.81990388,-1151.8527,-0.293,阶段低点止损,0,否
18,CITYUSDT,2025-02-16 14:00:00,1.377,392609.0,2025-02-16 14:00:00,1.375,392038.76,285119.10118061,-570.2382,-0.1452,阶段低点止损,0,否
19,STORJUSDT,2025-02-17 07:00:00,0.3582,392380.91,2025-02-17 08:00:00,0.3557,389642.35,1095424.08443537,-2738.5602,-0.6979,阶段低点止损,1,否
