序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-04-10 18:00:00,6.7146,450000.0,2025-04-10 19:00:00,6.678,447547.14,67018.13957645,-2452.8639,-0.5451,阶段低点止损,1,否
2,OMUSDT,2025-04-10 21:00:00,6.6104,448896.21,2025-04-10 21:00:00,6.6079,448726.44,67907.5715904,-169.7689,-0.0378,阶段低点止损,0,否
3,OMUSDT,2025-04-10 22:00:00,6.425,448819.82,2025-04-10 22:00:00,6.4109,447834.86,69855.22415924,-984.9587,-0.2195,阶段低点止损,0,否
4,OMUSDT,2025-04-10 23:00:00,6.4377,448376.58,2025-04-10 23:00:00,6.4089,446370.71,69648.5676291,-2005.8787,-0.4474,阶段低点止损,0,否
5,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.5e-07,230839.73,355138046340.77246,7102.7609,3.1746,阶段止盈,0,是
6,BTTCUSDT,2025-04-23 14:00:00,6.3e-07,223736.97,2025-04-23 14:00:00,6.3e-07,223736.97,355138046340.77246,0.0,0.0,阶段低点止损,0,否
7,CRVUSDT,2025-04-23 16:00:00,0.6742,452070.42,2025-04-23 16:00:00,0.6699,449187.15,670528.6589655,-2883.2732,-0.6378,阶段低点止损,0,否
8,OSMOUSDT,2025-04-23 17:00:00,0.2418,451239.7,2025-04-23 18:00:00,0.2409,449560.14,1866169.13127436,-1679.5522,-0.3722,阶段低点止损,1,否
9,STXUSDT,2025-04-23 19:00:00,0.806,453051.01,2025-04-23 21:00:00,0.797,447992.12,562098.02241789,-5058.8822,-1.1166,阶段低点止损,2,否
10,MLNUSDT,2025-04-23 15:00:00,8.69,450670.18,2025-04-23 23:00:00,8.785,455596.95,51860.78029994,4926.7741,1.0932,MA5首次上升止损,8,否
11,SPELLUSDT,2025-04-23 22:00:00,0.0005792,449140.89,2025-04-23 23:00:00,0.0005785,448598.08,775450439.3967196,-542.8153,-0.1209,阶段低点止损,1,否
12,LPTUSDT,2025-04-24 00:00:00,5.242,448313.19,2025-04-24 00:00:00,5.214,445918.54,85523.3105364,-2394.6527,-0.5341,阶段低点止损,0,否
13,JSTUSDT,2025-04-24 01:00:00,0.03151,447235.6,2025-04-24 05:00:00,0.03156,447945.27,14193449.70228617,709.6725,0.1587,MA5首次上升止损,4,否
14,IMXUSDT,2025-04-24 02:00:00,0.597,447427.21,2025-04-24 05:00:00,0.587,439932.62,749459.31606368,-7494.5932,-1.675,阶段低点止损,3,否
15,VIRTUALUSDT,2025-04-24 07:00:00,0.7339,445685.26,2025-04-24 07:00:00,0.7251,440341.16,607283.36087888,-5344.0936,-1.1991,阶段低点止损,0,否
16,VIRTUALUSDT,2025-04-24 08:00:00,0.7263,443508.12,2025-04-24 08:00:00,0.722,440882.37,610640.40262967,-2625.7537,-0.592,阶段低点止损,0,否
17,KAVAUSDT,2025-04-24 06:00:00,0.4389,444182.39,2025-04-24 09:00:00,0.44175,447066.69,1012035.51108465,2884.3012,0.6494,MA5首次上升止损,3,否
18,COOKIEUSDT,2025-04-24 09:00:00,0.1215,443191.83,2025-04-24 09:00:00,0.1204,439179.39,3647669.34660753,-4012.4363,-0.9053,阶段低点止损,0,否
19,PENGUUSDT,2025-04-24 10:00:00,0.006473,440088.29,2025-04-24 10:00:00,0.006452,438660.54,67988304.30144888,-1427.7544,-0.3244,阶段低点止损,0,否
20,ADAUSDT,2025-04-24 11:00:00,0.686,439445.8,2025-04-24 11:00:00,0.686,439445.8,640591.55141054,0.0,0.0,阶段低点止损,0,否
21,COOKIEUSDT,2025-04-24 12:00:00,0.1168,439445.8,2025-04-24 12:00:00,0.1166,438693.33,3762378.46119546,-752.4757,-0.1712,阶段低点止损,0,否
22,SANDUSDT,2025-04-24 13:00:00,0.2893,439107.19,2025-04-24 13:00:00,0.2892,438955.41,1517826.4438511,-151.7826,-0.0346,阶段低点止损,0,否
23,AAVEUSDT,2025-04-24 14:00:00,164.15,439038.89,2025-04-24 14:00:00,164.14,439012.14,2674.62009148,-26.7462,-0.0061,阶段低点止损,0,否
24,APTUSDT,2025-04-24 15:00:00,5.267,439026.85,2025-04-24 15:00:00,5.264,438776.79,83354.25331797,-250.0628,-0.057,阶段低点止损,0,否
25,WOOUSDT,2025-04-24 16:00:00,0.0672,438914.32,2025-04-24 16:00:00,0.067,437608.03,6531463.15452021,-1306.2926,-0.2976,阶段低点止损,0,否
26,1000CHEEMSUSDT,2025-04-24 17:00:00,0.001448,438326.49,2025-04-24 18:00:00,0.001441,436207.51,302711665.95293593,-2118.9817,-0.4834,阶段低点止损,1,否
27,BIGTIMEUSDT,2025-04-24 18:00:00,0.07398,439824.92,2025-04-24 19:00:00,0.07352,437090.13,5945186.74028546,-2734.7859,-0.6218,阶段低点止损,1,否
28,LUNCUSDT,2025-04-24 20:00:00,6.312e-05,435627.5,2025-04-24 22:00:00,6.315e-05,435800.04,6901576372.935374,172.5394,0.0396,MA5首次上升止损,2,否
29,CVCUSDT,2025-04-24 23:00:00,0.1127,440853.11,2025-04-25 01:00:00,0.1125,440070.76,3911740.0689057,-782.348,-0.1775,MA5下跌破线,2,否
30,BARUSDT,2025-04-25 03:00:00,1.853,442560.23,2025-04-25 03:00:00,1.844,440410.72,238834.44906,-2149.51,-0.4857,阶段低点止损,0,否
31,TSTUSDT,2025-04-24 19:00:00,0.0766,438148.8,2025-04-25 08:00:00,0.0786,449588.71,5719958.1908839,11439.9164,2.611,MA5下跌破线,13,否
32,SYSUSDT,2025-04-25 04:00:00,0.0438,221053.88,2025-04-25 08:00:00,0.046,232157.04,5046892.1327246,11103.1627,5.0228,阶段止盈,4,是
33,SYSUSDT,2025-04-25 04:00:00,0.0438,221053.88,2025-04-25 10:00:00,0.0447,225596.08,5046892.1327246,4542.2029,2.0548,阶段止盈后止损,6,否
34,TURBOUSDT,2025-04-25 09:00:00,0.004244,449132.97,2025-04-25 10:00:00,0.004238,448498.01,105827750.1689117,-634.9665,-0.1414,MA5下跌破线,1,否
35,TURBOUSDT,2025-04-25 12:00:00,0.004236,448363.88,2025-04-25 12:00:00,0.004193,443812.5,105846052.35388117,-4551.3803,-1.0151,阶段低点止损,0,否
36,IDEXUSDT,2025-04-25 13:00:00,0.02687,223548.04,2025-04-25 15:00:00,0.02819,234529.93,8319614.30600461,10981.8909,4.9125,阶段止盈,2,是
37,TSTUSDT,2025-04-25 11:00:00,0.0773,446803.25,2025-04-25 20:00:00,0.0803,464143.6,5780119.60514427,17340.3588,3.881,MA5下跌破线,9,否
38,IDEXUSDT,2025-04-25 13:00:00,0.02687,223548.04,2025-04-25 20:00:00,0.02774,230786.1,8319614.30600461,7238.0644,3.2378,MA5下跌破线,7,否
39,EGLDUSDT,2025-04-25 21:00:00,17.79,460757.27,2025-04-25 21:00:00,17.75,459721.27,25899.79009163,-1035.9916,-0.2248,阶段低点止损,0,否
40,EGLDUSDT,2025-04-25 22:00:00,17.69,460291.07,2025-04-25 22:00:00,17.53,456127.89,26019.84564774,-4163.1753,-0.9045,阶段低点止损,0,否
41,EGLDUSDT,2025-04-25 23:00:00,17.68,458417.64,2025-04-25 23:00:00,17.52,454269.06,25928.59958268,-4148.5759,-0.905,阶段低点止损,0,否
42,IDEXUSDT,2025-04-26 00:00:00,0.02735,456550.78,2025-04-26 01:00:00,0.0273,455716.14,16692898.77337758,-834.6449,-0.1828,阶段低点止损,1,否
43,TSTUSDT,2025-04-26 01:00:00,0.0788,457001.49,2025-04-26 01:00:00,0.0785,455261.64,5799511.29084718,-1739.8534,-0.3807,阶段低点止损,0,否
44,REDUSDT,2025-04-26 03:00:00,0.4089,457643.25,2025-04-26 03:00:00,0.4086,457307.48,1119205.78515239,-335.7617,-0.0734,阶段低点止损,0,否
45,HIGHUSDT,2025-04-26 04:00:00,0.524,458184.76,2025-04-26 04:00:00,0.521,455561.57,874398.40566001,-2623.1952,-0.5725,阶段低点止损,0,否
46,NOTUSDT,2025-04-26 02:00:00,0.002367,455392.26,2025-04-26 05:00:00,0.002384,458662.92,192392166.11964995,3270.6668,0.7182,MA5首次上升止损,3,否
47,CETUSUSDT,2025-04-26 05:00:00,0.1885,456311.71,2025-04-26 05:00:00,0.187,452680.59,2420751.80329005,-3631.1277,-0.7958,阶段低点止损,0,否
48,CETUSUSDT,2025-04-26 06:00:00,0.1855,453898.52,2025-04-26 06:00:00,0.1848,452185.69,2446892.28668555,-1712.8246,-0.3774,阶段低点止损,0,否
49,QNTUSDT,2025-04-26 08:00:00,74.6,451932.13,2025-04-26 08:00:00,74.5,451326.32,6058.07142786,-605.8071,-0.134,阶段低点止损,0,否
50,PENDLEUSDT,2025-04-26 09:00:00,3.589,454159.45,2025-04-26 11:00:00,3.6315,459537.48,126542.05828279,5378.0375,1.1842,MA5首次上升止损,2,否
51,ENSUSDT,2025-04-26 12:00:00,18.15,469622.69,2025-04-26 13:00:00,18.09,468070.22,25874.52820138,-1552.4717,-0.3306,阶段低点止损,1,否
52,CETUSUSDT,2025-04-26 07:00:00,0.1876,453127.75,2025-04-26 15:00:00,0.194,468586.26,2415393.11359202,15458.5159,3.4115,MA5下跌破线,8,否
53,DEGOUSDT,2025-04-26 14:00:00,2.199,469358.85,2025-04-26 16:00:00,2.194,468291.64,213441.94877399,-1067.2097,-0.2274,阶段低点止损,2,否
54,BCHUSDT,2025-04-26 16:00:00,369.2,462877.66,2025-04-26 16:00:00,369.0,462626.91,1253.73146247,-250.7463,-0.0542,阶段低点止损,0,否
55,IDEXUSDT,2025-04-26 17:00:00,0.02757,460939.89,2025-04-26 17:00:00,0.02752,460103.95,16718893.41492972,-835.9447,-0.1814,阶段低点止损,0,否
56,GUSDT,2025-04-26 18:00:00,0.01504,460563.72,2025-04-26 19:00:00,0.01503,460257.49,30622587.52312343,-306.2259,-0.0665,阶段低点止损,1,否
57,CTKUSDT,2025-04-26 19:00:00,0.3636,461528.33,2025-04-26 19:00:00,0.3634,461274.46,1269329.83458403,-253.866,-0.055,阶段低点止损,0,否
58,IDUSDT,2025-04-26 20:00:00,0.2062,460311.68,2025-04-26 20:00:00,0.206,459865.2,2232355.3589661,-446.4711,-0.097,阶段低点止损,0,否
59,ONDOUSDT,2025-04-26 21:00:00,0.994,460110.76,2025-04-26 21:00:00,0.9939,460064.47,462888.09158602,-46.2888,-0.0101,阶段低点止损,0,否
60,WLDUSDT,2025-04-26 22:00:00,1.081,460089.93,2025-04-26 22:00:00,1.075,457536.24,425615.10922514,-2553.6907,-0.555,阶段低点止损,0,否
61,CKBUSDT,2025-04-27 00:00:00,0.005193,463252.97,2025-04-27 00:00:00,0.00514,458524.99,89207195.73526576,-4727.9814,-1.0206,阶段低点止损,0,否
62,FORTHUSDT,2025-04-27 01:00:00,2.78,461125.38,2025-04-27 01:00:00,2.766,458803.16,165872.4373507,-2322.2141,-0.5036,阶段低点止损,0,否
63,LPTUSDT,2025-04-26 23:00:00,5.364,458940.77,2025-04-27 02:00:00,5.42,463732.1,85559.42809051,4791.328,1.044,MA5首次上升止损,3,否
64,FORTHUSDT,2025-04-27 02:00:00,2.778,458694.32,2025-04-27 02:00:00,2.766,456712.92,165116.74468847,-1981.4009,-0.432,阶段低点止损,0,否
65,SHIBUSDT,2025-04-27 03:00:00,1.409e-05,457032.65,2025-04-27 03:00:00,1.409e-05,457032.65,32436667953.8993,0.0,0.0,阶段低点止损,0,否
66,TKOUSDT,2025-04-27 04:00:00,0.1786,457032.65,2025-04-27 04:00:00,0.1781,455753.16,2558973.41248847,-1279.4867,-0.28,阶段低点止损,0,否
67,SHIBUSDT,2025-04-27 05:00:00,1.408e-05,456456.88,2025-04-27 05:00:00,1.407e-05,456132.69,32418812674.192554,-324.1881,-0.071,阶段低点止损,0,否
68,DCRUSDT,2025-04-27 07:00:00,14.12,458869.14,2025-04-27 07:00:00,14.08,457569.23,32497.81430824,-1299.9126,-0.2833,阶段低点止损,0,否
69,IOTAUSDT,2025-04-27 06:00:00,0.2087,456311.0,2025-04-27 09:00:00,0.21,459153.38,2186444.64684043,2842.378,0.6229,MA5首次上升止损,3,否
70,DCRUSDT,2025-04-27 08:00:00,14.11,458284.18,2025-04-27 09:00:00,14.08,457309.8,32479.38889971,-974.3817,-0.2126,阶段低点止损,1,否
71,1000SATSUSDT,2025-04-27 10:00:00,4.87e-05,456566.64,2025-04-27 10:00:00,4.85e-05,454691.62,9375084917.993935,-1875.017,-0.4107,阶段低点止损,0,否
72,SSVUSDT,2025-04-27 11:00:00,6.6,455722.88,2025-04-27 12:00:00,6.645,458830.08,69048.92088844,3107.2014,0.6818,MA5首次上升止损,1,否
73,TRXUSDT,2025-04-27 12:00:00,0.2516,458519.36,2025-04-27 13:00:00,0.252,459248.32,1822413.98712109,728.9656,0.159,MA5首次上升止损,1,否
74,WBETHUSDT,2025-04-27 13:00:00,1918.33,457777.19,2025-04-27 13:00:00,1917.94,457684.12,238.63317967,-93.0669,-0.0203,阶段低点止损,0,否
75,ANKRUSDT,2025-04-27 15:00:00,0.02029,456434.63,2025-04-27 18:00:00,0.0206,463408.25,22495545.98410517,6973.6193,1.5278,MA5首次上升止损,3,否
76,ARPAUSDT,2025-04-27 19:00:00,0.0271,463484.95,2025-04-27 19:00:00,0.02696,461090.56,17102765.70363358,-2394.3872,-0.5166,阶段低点止损,0,否
77,KAITOUSDT,2025-04-27 14:00:00,0.9523,457407.27,2025-04-27 20:00:00,0.96105,461610.06,480318.46362105,4202.7866,0.9188,MA5首次上升止损,6,否
78,ARPAUSDT,2025-04-27 20:00:00,0.02696,462580.39,2025-04-27 20:00:00,0.02694,462237.23,17158026.37151501,-343.1605,-0.0742,阶段低点止损,0,否
79,ENSUSDT,2025-04-27 21:00:00,18.39,461204.76,2025-04-27 21:00:00,18.35,460201.59,25079.10598396,-1003.1642,-0.2175,阶段低点止损,0,否
80,TRXUSDT,2025-04-27 22:00:00,0.2487,460753.34,2025-04-27 23:00:00,0.2482,459827.01,1852647.10549752,-926.3236,-0.201,阶段低点止损,1,否
81,WLDUSDT,2025-04-27 23:00:00,1.138,460586.6,2025-04-27 23:00:00,1.133,458562.93,404733.38918958,-2023.6669,-0.4394,阶段低点止损,0,否
82,WLDUSDT,2025-04-28 01:00:00,1.119,460338.89,2025-04-28 01:00:00,1.116,459104.74,411384.17687236,-1234.1525,-0.2681,阶段低点止损,0,否
83,STEEMUSDT,2025-04-28 00:00:00,0.1585,459425.84,2025-04-28 03:00:00,0.15955,462469.35,2898585.73762031,3043.515,0.6625,MA5首次上升止损,3,否
84,VIRTUALUSDT,2025-04-28 02:00:00,1.0598,461609.63,2025-04-28 04:00:00,1.0763,468796.42,435562.96876401,7186.789,1.5569,MA5首次上升止损,2,否
85,TRXUSDT,2025-04-28 04:00:00,0.2476,466708.16,2025-04-28 04:00:00,0.2475,466519.67,1884927.9588902,-188.4928,-0.0404,阶段低点止损,0,否
86,RAREUSDT,2025-04-28 05:00:00,0.0642,463389.29,2025-04-28 06:00:00,0.0637,459780.33,7217901.64828646,-3608.9508,-0.7788,阶段低点止损,1,否
87,TURBOUSDT,2025-04-28 06:00:00,0.005049,462414.87,2025-04-28 06:00:00,0.005013,459117.79,91585436.54138878,-3297.0757,-0.713,阶段低点止损,0,否
88,JSTUSDT,2025-04-28 07:00:00,0.04085,460281.57,2025-04-28 07:00:00,0.04083,460056.22,11267602.78769047,-225.3521,-0.049,阶段低点止损,0,否
89,RAREUSDT,2025-04-28 08:00:00,0.0636,460180.17,2025-04-28 08:00:00,0.0631,456562.4,7235537.19264255,-3617.7686,-0.7862,阶段低点止损,0,否
90,NOTUSDT,2025-04-28 09:00:00,0.002534,458552.17,2025-04-28 09:00:00,0.002533,458371.21,180959814.358217,-180.9598,-0.0395,阶段低点止损,0,否
91,WCTUSDT,2025-04-28 13:00:00,0.4269,461460.76,2025-04-28 13:00:00,0.4205,454542.64,1080957.51749184,-6918.1281,-1.4992,阶段低点止损,0,否
92,WCTUSDT,2025-04-28 14:00:00,0.4219,458347.61,2025-04-28 16:00:00,0.42615,462964.76,1086389.20731663,4617.1541,1.0073,MA5首次上升止损,2,否
93,PENGUUSDT,2025-04-28 20:00:00,0.012262,465010.03,2025-04-28 21:00:00,0.012031,456249.85,37922853.80056711,-8760.1792,-1.8839,阶段低点止损,1,否
94,PSGUSDT,2025-04-28 10:00:00,2.07,229235.37,2025-04-28 22:00:00,2.241,248172.2,110741.72407422,18936.8348,8.2609,阶段止盈,12,是
95,HEIUSDT,2025-04-28 22:00:00,0.3667,465652.66,2025-04-28 22:00:00,0.3664,465271.71,1269846.35949457,-380.9539,-0.0818,阶段低点止损,0,否
96,YFIUSDT,2025-04-28 23:00:00,5950.0,469119.1,2025-04-28 23:00:00,5938.0,468172.97,78.84354561,-946.1225,-0.2017,阶段低点止损,0,否
97,PSGUSDT,2025-04-28 10:00:00,2.07,229235.37,2025-04-29 00:00:00,2.143,237319.51,110741.72407422,8084.1459,3.5266,阶段止盈后止损,14,否
98,PENGUUSDT,2025-04-29 00:00:00,0.011572,466400.99,2025-04-29 00:00:00,0.011474,462451.17,40304267.85078734,-3949.8182,-0.8469,阶段低点止损,0,否
99,BROCCOLI714USDT,2025-04-29 01:00:00,0.03694,463278.06,2025-04-29 07:00:00,0.03803,476948.15,12541365.92879236,13670.0889,2.9507,MA5首次上升止损,6,否
100,1INCHUSDT,2025-04-29 02:00:00,0.2022,233811.82,2025-04-29 08:00:00,0.2091,241790.56,1156339.36870405,7978.7416,3.4125,阶段止盈,6,是
101,ZECUSDT,2025-04-29 08:00:00,35.66,471615.08,2025-04-29 08:00:00,35.53,469895.79,13225.32470007,-1719.2922,-0.3646,阶段低点止损,0,否
102,1INCHUSDT,2025-04-29 02:00:00,0.2022,233811.82,2025-04-29 10:00:00,0.20495,236991.75,1156339.36870405,3179.9333,1.36,阶段止盈后止损,8,否
103,ZECUSDT,2025-04-29 09:00:00,35.66,475108.29,2025-04-29 10:00:00,35.68,475374.76,13323.28349916,266.4657,0.0561,MA5下跌破线,1,否
104,PENGUUSDT,2025-04-29 11:00:00,0.011656,473797.23,2025-04-29 11:00:00,0.011611,471968.05,40648355.2816402,-1829.176,-0.3861,阶段低点止损,0,否
105,PENGUUSDT,2025-04-29 12:00:00,0.011637,472974.1,2025-04-29 12:00:00,0.01159,471063.83,40643988.99788133,-1910.2675,-0.4039,阶段低点止损,0,否
106,XRPUSDT,2025-04-29 13:00:00,2.2673,472114.48,2025-04-29 13:00:00,2.2662,471885.43,208227.61857762,-229.0504,-0.0485,阶段低点止损,0,否
107,1INCHUSDT,2025-04-29 14:00:00,0.203,472011.41,2025-04-29 14:00:00,0.203,472011.41,2325179.34448199,0.0,0.0,阶段低点止损,0,否
108,EDUUSDT,2025-04-29 15:00:00,0.1482,472011.41,2025-04-29 17:00:00,0.1506,479655.32,3184962.25998545,7643.9094,1.6194,MA5首次上升止损,2,否
109,FLOKIUSDT,2025-04-29 16:00:00,8.54e-05,474877.87,2025-04-29 17:00:00,8.42e-05,468205.12,5560630830.958206,-6672.757,-1.4052,阶段低点止损,1,否
110,PSGUSDT,2025-04-29 18:00:00,2.159,472448.43,2025-04-29 18:00:00,2.155,471573.12,218827.43192307,-875.3097,-0.1853,阶段低点止损,0,否
111,AIXBTUSDT,2025-04-29 19:00:00,0.1444,472054.54,2025-04-29 19:00:00,0.1436,469439.28,3269075.73507236,-2615.2606,-0.554,阶段低点止损,0,否
112,DYMUSDT,2025-04-29 20:00:00,0.343,470877.67,2025-04-29 20:00:00,0.341,468132.03,1372821.19206946,-2745.6424,-0.5831,阶段低点止损,0,否
