序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-26 19:00:00,4.5825,450000.0,2025-01-26 19:00:00,4.4791915,439855.14,98199.67266776,-10144.8609,-2.2544,阶段低点止损,0,否
2,OMUSDT,2025-01-26 23:00:00,4.4562,445434.81,2025-01-27 01:00:00,4.5368,453491.46,99958.44275443,8056.6505,1.8087,MA5首次上升止损,2,否
3,OMUSDT,2025-01-27 20:00:00,4.5248,449060.31,2025-01-28 00:00:00,4.6279,459292.39,99244.23296521,10232.0804,2.2786,MA5首次上升止损,4,否
4,OMUSDT,2025-01-31 23:00:00,5.2926,453664.74,2025-02-01 01:00:00,5.2411625,449255.68,85716.80110143,-4409.058,-0.9719,阶段低点止损,2,否
5,OMUSDT,2025-02-05 05:00:00,5.8035,451680.67,2025-02-05 05:00:00,5.7675175,448880.18,77829.01101558,-2800.4824,-0.62,阶段低点止损,0,否
6,OMUSDT,2025-02-05 21:00:00,5.7616,450420.45,2025-02-05 22:00:00,5.71528,446799.32,78176.27887287,-3621.1252,-0.8039,阶段低点止损,1,否
7,OMUSDT,2025-02-08 06:00:00,5.9754,448790.94,2025-02-08 09:00:00,5.9867,449639.64,75106.42668225,848.7026,0.1891,MA5上升后止损,3,否
8,OMUSDT,2025-02-11 00:00:00,6.084,449172.86,2025-02-11 07:00:00,6.0714,448242.62,73828.54342156,-930.2396,-0.2071,MA5上升后止损,7,否
9,TAOUSDT,2025-02-11 07:00:00,385.8,449053.26,2025-02-11 07:00:00,383.473,446344.74,1163.95348869,-2708.5198,-0.6032,阶段低点止损,0,否
10,PROMUSDT,2025-02-11 11:00:00,5.675,447535.42,2025-02-11 11:00:00,5.62772,443806.87,78860.86633302,-3728.5418,-0.8331,阶段低点止损,0,否
11,TNSRUSDT,2025-02-11 18:00:00,0.3468,445857.57,2025-02-11 20:00:00,0.3443695,442732.84,1285633.13912284,-3124.7313,-0.7008,阶段低点止损,2,否
12,HOOKUSDT,2025-02-11 19:00:00,0.1996,445336.89,2025-02-11 21:00:00,0.1981045,442000.21,2231146.74963154,-3336.68,-0.7492,阶段低点止损,2,否
13,MOVRUSDT,2025-02-12 03:00:00,7.424,442949.94,2025-02-12 03:00:00,7.3829,440497.72,59664.59288239,-2452.2148,-0.5536,阶段低点止损,0,否
14,ADXUSDT,2025-02-12 10:00:00,0.1559,441846.44,2025-02-12 10:00:00,0.154026,436535.21,2834165.75313355,-5311.2266,-1.2021,阶段低点止损,0,否
15,OGUSDT,2025-02-12 18:00:00,3.695,439456.39,2025-02-12 21:00:00,3.705,440645.72,118932.71689686,1189.3272,0.2706,MA5首次上升止损,3,否
16,FTTUSDT,2025-02-12 20:00:00,2.0151,439831.03,2025-02-12 21:00:00,2.02005,440911.45,218267.59316765,1080.4246,0.2456,MA5首次上升止损,1,否
17,IDEXUSDT,2025-02-13 00:00:00,0.04358,440477.78,2025-02-13 00:00:00,0.04329245,437571.41,10107337.70591371,-2906.365,-0.6598,阶段低点止损,0,否
18,IDEXUSDT,2025-02-13 08:00:00,0.04174,439169.91,2025-02-13 11:00:00,0.04215,443483.75,10521559.96628937,4313.8396,0.9823,MA5首次上升止损,3,否
19,KAVAUSDT,2025-02-13 11:00:00,0.4957,443052.37,2025-02-13 13:00:00,0.4874505,435679.04,893791.34278894,-7373.3317,-1.6642,阶段低点止损,2,否
20,DOTUSDT,2025-02-13 13:00:00,5.135,438939.23,2025-02-13 14:00:00,5.099375,435894.01,85479.88857716,-3045.221,-0.6938,阶段低点止损,1,否
21,USTCUSDT,2025-02-13 22:00:00,0.01853,436422.79,2025-02-13 22:00:00,0.01841745,433771.99,23552228.39103585,-2650.8033,-0.6074,阶段低点止损,0,否
22,NOTUSDT,2025-02-14 08:00:00,0.003104,435659.43,2025-02-14 08:00:00,0.00307654,431805.31,140354199.0397696,-3854.1263,-0.8847,阶段低点止损,0,否
