序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2026-01-03 16:00:00,0.0739,450000.0,2026-01-03 22:00:00,0.07425,452131.26,6089309.8782138,2131.2585,0.4736,MA5首次上升止损,6,否
2,OMUSDT,2026-01-05 15:00:00,0.0775,450959.07,2026-01-05 16:00:00,0.0776,451540.95,5818826.66201056,581.8827,0.129,MA5下跌破线,1,否
3,REDUSDT,2026-01-27 18:00:00,0.2447,225610.46,2026-01-27 18:00:00,0.2476,228284.22,921987.972018,2673.7651,1.1851,阶段止盈,0,是
4,ONGUSDT,2026-01-27 19:00:00,0.0886,453004.96,2026-01-27 19:00:00,0.08712,445437.83,5112922.80170953,-7567.1257,-1.6704,阶段低点止损,0,否
5,REDUSDT,2026-01-27 18:00:00,0.2447,225610.46,2026-01-27 20:00:00,0.2454,226255.85,921987.972018,645.3916,0.2861,阶段止盈后止损,2,否
6,NXPCUSDT,2026-01-27 21:00:00,0.3706,450741.68,2026-01-27 22:00:00,0.3663,445511.81,1216248.46365838,-5229.8684,-1.1603,阶段低点止损,1,否
7,RESOLVUSDT,2026-01-27 20:00:00,0.113,224799.88,2026-01-27 23:00:00,0.1211,240913.85,1989379.4409094,16113.9735,7.1681,阶段止盈,3,是
8,LINEAUSDT,2026-01-27 23:00:00,0.00616,450357.73,2026-01-28 01:00:00,0.006205,453647.68,73110020.37355778,3289.9509,0.7305,MA5首次上升止损,2,否
9,RESOLVUSDT,2026-01-27 20:00:00,0.113,224799.88,2026-01-28 05:00:00,0.1256,249866.06,1989379.4409094,25066.181,11.1504,MA5下跌破线,9,否
10,ONGUSDT,2026-01-28 02:00:00,0.0847,468578.83,2026-01-28 08:00:00,0.083061,459511.53,5532217.6081338,-9067.3047,-1.9351,阶段低点止损,6,否
11,HEMIUSDT,2026-01-28 06:00:00,0.015,465224.79,2026-01-28 09:00:00,0.01515,469877.03,31014985.70101562,4652.2479,1.0,MA5首次上升止损,3,否
12,AXLUSDT,2026-01-28 09:00:00,0.0853,467074.17,2026-01-28 09:00:00,0.08415,460777.16,5475664.36148364,-6297.014,-1.3482,阶段低点止损,0,否
13,GLMUSDT,2026-01-28 11:00:00,0.237,462330.72,2026-01-28 12:00:00,0.234135,456741.78,1950762.52267406,-5588.9346,-1.2089,阶段低点止损,1,否
14,STOUSDT,2026-01-28 13:00:00,0.0896,458162.26,2026-01-28 14:00:00,0.088506,452568.18,5113418.03751832,-5594.0793,-1.221,阶段低点止损,1,否
15,ASTRUSDT,2026-01-28 10:00:00,0.01132,462147.0,2026-01-28 15:00:00,0.01127,460105.72,40825706.90747952,-2041.2853,-0.4417,MA5下跌破线,5,否
16,BEAMXUSDT,2026-01-28 15:00:00,0.00323,457114.65,2026-01-28 16:00:00,0.00318285,450441.9,141521562.2013747,-6672.7417,-1.4598,阶段低点止损,1,否
17,NXPCUSDT,2026-01-28 16:00:00,0.3715,454285.53,2026-01-28 18:00:00,0.37315,456303.21,1222841.25549207,2017.6881,0.4441,MA5首次上升止损,2,否
18,ZECUSDT,2026-01-28 17:00:00,390.01,452588.03,2026-01-28 20:00:00,392.505,455483.36,1160.45236619,2895.3287,0.6397,MA5首次上升止损,3,否
19,TURTLEUSDT,2026-01-28 21:00:00,0.066,456004.84,2026-01-28 22:00:00,0.064944,448708.76,6909164.22072779,-7296.0774,-1.6,阶段低点止损,1,否
20,ROSEUSDT,2026-01-28 19:00:00,0.02054,456936.86,2026-01-28 23:00:00,0.02082,463165.79,22246195.65472255,6228.9348,1.3632,MA5首次上升止损,4,否
21,BEAMXUSDT,2026-01-28 23:00:00,0.003133,457727.0,2026-01-29 00:00:00,0.00309474,452137.26,146098626.7962517,-5589.7335,-1.2212,阶段低点止损,1,否
22,ASTERUSDT,2026-01-29 00:00:00,0.667,454792.49,2026-01-29 02:00:00,0.665,453428.79,681847.80859977,-1363.6956,-0.2999,MA5下跌破线,2,否
