序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-02-01 03:00:00,5.2074,400000.0,2025-02-01 05:00:00,5.2389,402419.63,76813.76502669,2419.6336,0.6049,MA5下跌破线,2,否
2,OMUSDT,2025-02-11 05:00:00,6.0374,400967.85,2025-02-11 09:00:00,6.0589,402395.75,66413.99500436,1427.9009,0.3561,MA5首次上升止损,4,否
3,COOKIEUSDT,2025-02-12 02:00:00,0.2209,401539.01,2025-02-12 03:00:00,0.216513,393564.58,1817741.12175814,-7974.4303,-1.986,阶段低点止损,1,否
4,RUNEUSDT,2025-02-12 03:00:00,1.348,398994.18,2025-02-12 03:00:00,1.32957,393539.09,295989.74497471,-5455.091,-1.3672,阶段低点止损,0,否
5,SCRUSDT,2025-02-12 07:00:00,0.624,396167.21,2025-02-12 09:00:00,0.6285,399024.18,634883.3417884,2856.975,0.7212,MA5首次上升止损,2,否
6,RPLUSDT,2025-02-12 12:00:00,8.97,397310.0,2025-02-12 12:00:00,8.8803,393336.9,44293.19902912,-3973.1,-1.0,阶段低点止损,0,否
7,SUPERUSDT,2025-02-12 16:00:00,0.7095,399099.65,2025-02-12 17:00:00,0.7074,397918.38,562508.31817177,-1181.2675,-0.296,MA5下跌破线,1,否
8,XVSUSDT,2025-02-12 15:00:00,6.09,395720.76,2025-02-12 21:00:00,6.21,403518.21,64978.77755501,7797.4533,1.9704,MA5首次上升止损,6,否
9,USTCUSDT,2025-02-13 19:00:00,0.01873,398367.23,2025-02-13 22:00:00,0.0184833,393120.18,21268939.11614467,-5247.0473,-1.3171,阶段低点止损,3,否
10,SXPUSDT,2025-02-13 20:00:00,0.2438,400238.9,2025-02-13 22:00:00,0.24405,400649.31,1641668.97574902,410.4172,0.1025,MA5首次上升止损,2,否
11,C98USDT,2025-02-14 04:00:00,0.1036,399489.73,2025-02-14 06:00:00,0.10445,402767.39,3856078.45012871,3277.6667,0.8205,MA5首次上升止损,2,否
12,QNTUSDT,2025-02-14 07:00:00,91.2,401199.55,2025-02-14 12:00:00,92.0,404718.85,4399.11790325,3519.2943,0.8772,MA5首次上升止损,5,否
13,RONINUSDT,2025-02-14 02:00:00,1.193,396432.58,2025-02-14 13:00:00,1.228,408063.04,332298.89155992,11630.4612,2.9338,MA5下跌破线,11,否
14,THEUSDT,2025-02-14 21:00:00,0.6868,403803.55,2025-02-14 23:00:00,0.675576,397204.4,587949.25235135,-6599.1424,-1.6342,阶段低点止损,2,否
15,BOMEUSDT,2025-02-15 14:00:00,0.002325,401163.89,2025-02-15 14:00:00,0.00228888,394931.61,172543608.40926835,-6232.2751,-1.5535,阶段低点止损,0,否
16,LRCUSDT,2025-02-15 17:00:00,0.14,398670.98,2025-02-15 19:00:00,0.137412,391301.26,2847649.8535518,-7369.7178,-1.8486,阶段低点止损,2,否
17,PNUTUSDT,2025-02-15 19:00:00,0.1687,397645.83,2025-02-15 19:00:00,0.166518,392502.59,2357118.11232942,-5143.2317,-1.2934,阶段低点止损,0,否
18,ASRUSDT,2025-02-16 00:00:00,1.525,393665.8,2025-02-16 00:00:00,1.50381,388195.78,258141.50798716,-5470.0186,-1.3895,阶段低点止损,0,否
19,OGUSDT,2025-02-16 06:00:00,3.956,391477.79,2025-02-16 10:00:00,3.959,391774.67,98957.98590969,296.874,0.0758,MA5首次上升止损,4,否
20,OSMOUSDT,2025-02-16 11:00:00,0.3312,391596.54,2025-02-16 13:00:00,0.3325,393133.61,1182356.70845956,1537.0637,0.3925,MA5下跌破线,2,否
21,TUSDUSDT,2025-02-16 12:00:00,0.9984,392353.25,2025-02-16 14:00:00,0.9984,392353.25,392982.02136941,0.0,0.0,MA5首次上升止损,2,否
22,ACMUSDT,2025-02-16 15:00:00,1.276,392211.37,2025-02-16 16:00:00,1.25928,387072.05,307375.67972587,-5139.3214,-1.3103,阶段低点止损,1,否
23,OSMOUSDT,2025-02-16 16:00:00,0.323,392703.17,2025-02-16 20:00:00,0.32555,395803.46,1215799.28302714,3100.2882,0.7895,MA5首次上升止损,4,否
24,HIVEUSDT,2025-02-16 21:00:00,0.3305,391395.75,2025-02-16 23:00:00,0.3329,394237.96,1184253.41619633,2842.2082,0.7262,MA5首次上升止损,2,否
