序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-26 19:00:00,4.5825,450000.0,2025-01-26 19:00:00,4.4791915,439855.14,98199.67266776,-10144.8609,-2.2544,阶段低点止损,0,否
2,OMUSDT,2025-01-26 23:00:00,4.4562,445434.81,2025-01-27 01:00:00,4.5368,453491.46,99958.44275443,8056.6505,1.8087,MA5首次上升止损,2,否
3,OMUSDT,2025-01-27 20:00:00,4.5248,449060.31,2025-01-28 00:00:00,4.6279,459292.39,99244.23296521,10232.0804,2.2786,MA5首次上升止损,4,否
4,OMUSDT,2025-01-31 23:00:00,5.2926,453664.74,2025-02-01 01:00:00,5.2411625,449255.68,85716.80110143,-4409.058,-0.9719,阶段低点止损,2,否
5,OMUSDT,2025-02-05 05:00:00,5.8035,451680.67,2025-02-05 05:00:00,5.7675175,448880.18,77829.01101558,-2800.4824,-0.62,阶段低点止损,0,否
6,OMUSDT,2025-02-05 21:00:00,5.7616,450420.45,2025-02-05 22:00:00,5.71528,446799.32,78176.27887287,-3621.1252,-0.8039,阶段低点止损,1,否
7,OMUSDT,2025-02-08 06:00:00,5.9754,448790.94,2025-02-08 09:00:00,5.9867,449639.64,75106.42668225,848.7026,0.1891,MA5上升后止损,3,否
8,OMUSDT,2025-02-11 00:00:00,6.084,449172.86,2025-02-11 07:00:00,6.0714,448242.62,73828.54342156,-930.2396,-0.2071,MA5上升后止损,7,否
9,TAOUSDT,2025-02-11 07:00:00,385.8,449053.26,2025-02-11 07:00:00,383.473,446344.74,1163.95348869,-2708.5198,-0.6032,阶段低点止损,0,否
10,PROMUSDT,2025-02-11 11:00:00,5.675,447535.42,2025-02-11 11:00:00,5.62772,443806.87,78860.86633302,-3728.5418,-0.8331,阶段低点止损,0,否
11,TNSRUSDT,2025-02-11 18:00:00,0.3468,445857.57,2025-02-11 20:00:00,0.3443695,442732.84,1285633.13912284,-3124.7313,-0.7008,阶段低点止损,2,否
12,HOOKUSDT,2025-02-11 19:00:00,0.1996,445336.89,2025-02-11 21:00:00,0.1981045,442000.21,2231146.74963154,-3336.68,-0.7492,阶段低点止损,2,否
13,SUNUSDT,2025-02-12 02:00:00,0.01967,442949.94,2025-02-12 02:00:00,0.0195617,440511.12,22519061.39089375,-2438.8143,-0.5506,阶段低点止损,0,否
14,OGUSDT,2025-02-12 08:00:00,3.689,441852.47,2025-02-12 10:00:00,3.719,445445.74,119775.67663377,3593.2703,0.8132,MA5首次上升止损,2,否
15,ADXUSDT,2025-02-12 09:00:00,0.1566,444547.42,2025-02-12 10:00:00,0.1545235,438652.77,2838744.72430559,-5894.6534,-1.326,阶段低点止损,1,否
16,SUPERUSDT,2025-02-12 16:00:00,0.7095,448898.21,2025-02-12 17:00:00,0.7074,447569.55,632696.56629308,-1328.6628,-0.296,MA5下跌破线,1,否
17,LISTAUSDT,2025-02-12 15:00:00,0.2651,440816.85,2025-02-12 21:00:00,0.2757,458442.87,1662832.32251053,17626.0226,3.9985,MA5首次上升止损,6,否
18,IDEXUSDT,2025-02-13 00:00:00,0.04358,448150.66,2025-02-13 00:00:00,0.04329245,445193.67,10283402.03351927,-2956.9923,-0.6598,阶段低点止损,0,否
19,IDEXUSDT,2025-02-13 08:00:00,0.04174,446820.01,2025-02-13 11:00:00,0.04215,451209.0,10704839.82046328,4388.9843,0.9823,MA5首次上升止损,3,否
20,KAVAUSDT,2025-02-13 11:00:00,0.4957,450770.1,2025-02-13 13:00:00,0.4874505,443268.33,909360.7020373,-7501.7711,-1.6642,阶段低点止损,2,否
21,DOTUSDT,2025-02-13 13:00:00,5.135,446585.31,2025-02-13 14:00:00,5.099375,443487.04,86968.90176184,-3098.2671,-0.6938,阶段低点止损,1,否
22,TKOUSDT,2025-02-13 20:00:00,0.3174,446372.0,2025-02-13 20:00:00,0.3145195,442321.04,1406338.99015821,-4050.9595,-0.9075,阶段低点止损,0,否
