序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-31 23:00:00,5.2926,450000.0,2025-02-01 01:00:00,5.2411625,445626.56,85024.37365378,-4373.4412,-0.9719,阶段低点止损,2,否
2,OMUSDT,2025-02-05 05:00:00,5.8035,448031.95,2025-02-05 05:00:00,5.7675175,445254.09,77200.30179221,-2777.8599,-0.62,阶段低点止损,0,否
3,OMUSDT,2025-02-05 21:00:00,5.7616,446781.91,2025-02-05 22:00:00,5.71528,443190.04,77544.76439087,-3591.8735,-0.8039,阶段低点止损,1,否
4,OMUSDT,2025-02-08 06:00:00,5.9754,445165.57,2025-02-08 09:00:00,5.9867,446007.42,74499.71072154,841.8467,0.1891,MA5上升后止损,3,否
5,OMUSDT,2025-02-11 00:00:00,6.084,445544.4,2025-02-11 07:00:00,6.0714,444621.68,73232.1503081,-922.7251,-0.2071,MA5上升后止损,7,否
6,TAOUSDT,2025-02-11 07:00:00,385.8,445425.77,2025-02-11 07:00:00,383.473,442739.13,1154.55097561,-2686.6401,-0.6032,阶段低点止损,0,否
7,PROMUSDT,2025-02-11 11:00:00,5.675,443920.19,2025-02-11 11:00:00,5.62772,440221.77,78223.82169659,-3698.4223,-0.8331,阶段低点止损,0,否
8,TNSRUSDT,2025-02-11 18:00:00,0.3468,442255.9,2025-02-11 20:00:00,0.3443695,439156.41,1275247.68770965,-3099.4895,-0.7008,阶段低点止损,2,否
9,HOOKUSDT,2025-02-11 19:00:00,0.1996,441739.42,2025-02-11 21:00:00,0.1981045,438429.7,2213123.3606422,-3309.726,-0.7492,阶段低点止损,2,否
10,MDTUSDT,2025-02-11 21:00:00,0.04025,441060.31,2025-02-11 21:00:00,0.039999,438309.85,10958020.09746394,-2750.463,-0.6236,阶段低点止损,0,否
11,THEUSDT,2025-02-11 23:00:00,0.5248,439284.78,2025-02-12 01:00:00,0.5188925,434339.9,837051.7986275,-4944.8835,-1.1257,阶段低点止损,2,否
12,IQUSDT,2025-02-11 22:00:00,0.005654,438134.04,2025-02-12 02:00:00,0.00562374,435789.17,77490987.39950988,-2344.8773,-0.5352,阶段低点止损,4,否
13,SUNUSDT,2025-02-12 02:00:00,0.01967,435490.39,2025-02-12 02:00:00,0.0195617,433092.65,22139826.83526665,-2397.7432,-0.5506,阶段低点止损,0,否
14,MOVRUSDT,2025-02-12 03:00:00,7.424,433774.67,2025-02-12 03:00:00,7.3829,431373.25,58428.69961549,-2401.4196,-0.5536,阶段低点止损,0,否
15,SCRUSDT,2025-02-12 05:00:00,0.627,434815.75,2025-02-12 06:00:00,0.621875,431261.63,693486.0453141,-3554.116,-0.8174,阶段低点止损,1,否
16,OGUSDT,2025-02-12 07:00:00,3.682,435691.74,2025-02-12 10:00:00,3.7155,439655.8,118330.18523362,3964.0612,0.9098,MA5首次上升止损,3,否
17,TAOUSDT,2025-02-12 11:00:00,403.3,442293.65,2025-02-12 11:00:00,399.8905,438554.5,1096.68646042,-3739.1525,-0.8454,阶段低点止损,0,否
18,RPLUSDT,2025-02-12 12:00:00,8.97,443395.79,2025-02-12 12:00:00,8.92515,441178.81,49430.96908098,-2216.979,-0.5,阶段低点止损,0,否
19,ADXUSDT,2025-02-12 13:00:00,0.1524,441469.9,2025-02-12 14:00:00,0.1509415,437244.94,2896784.10888482,-4224.9596,-0.957,阶段低点止损,1,否
20,SUSDT,2025-02-12 04:00:00,0.4405,432694.03,2025-02-12 18:00:00,0.4636,455384.68,982279.28977532,22690.6516,5.244,MA5下跌破线,14,否
21,LISTAUSDT,2025-02-12 15:00:00,0.2651,439701.27,2025-02-12 21:00:00,0.2757,457282.69,1658624.19489967,17581.4165,3.9985,MA5首次上升止损,6,否
22,OGUSDT,2025-02-12 19:00:00,3.684,454480.36,2025-02-12 21:00:00,3.6995,456392.53,123366.00318342,1912.173,0.4207,MA5首次上升止损,2,否
23,IDEXUSDT,2025-02-13 00:00:00,0.04358,447279.92,2025-02-13 00:00:00,0.04329245,444328.67,10263421.75338921,-2951.2469,-0.6598,阶段低点止损,0,否
24,KAVAUSDT,2025-02-13 13:00:00,0.49,445951.86,2025-02-13 14:00:00,0.49135,447180.5,910105.83448238,1228.6429,0.2755,MA5首次上升止损,1,否
25,COSUSDT,2025-02-13 14:00:00,0.005146,447057.64,2025-02-13 14:00:00,0.00511529,444390.15,86874783.8098064,-2667.4902,-0.5967,阶段低点止损,0,否
26,XVSUSDT,2025-02-13 15:00:00,8.05,445304.38,2025-02-13 16:00:00,7.98985,441977.04,55317.31398562,-3327.3364,-0.7472,阶段低点止损,1,否
27,DODOUSDT,2025-02-13 16:00:00,0.109,449038.3,2025-02-13 16:00:00,0.108455,446793.1,4119617.39704815,-2245.1915,-0.5,阶段低点止损,0,否
28,VELODROMEUSDT,2025-02-13 17:00:00,0.0765,442796.74,2025-02-13 22:00:00,0.07735,447716.7,5788192.68001683,4919.9638,1.1111,MA5首次上升止损,5,否
29,CHZUSDT,2025-02-13 18:00:00,0.0615,444880.49,2025-02-13 22:00:00,0.061093,441936.32,7233829.09570884,-2944.1684,-0.6618,阶段低点止损,4,否
30,XVSUSDT,2025-02-14 00:00:00,7.74,445479.82,2025-02-14 00:00:00,7.69135,442679.74,57555.53240668,-2800.0767,-0.6286,阶段低点止损,0,否
31,SFPUSDT,2025-02-14 01:00:00,0.6654,451501.21,2025-02-14 03:00:00,0.6674,452858.29,678541.03662935,1357.0821,0.3006,MA5上升后止损,2,否
32,DEGOUSDT,2025-02-13 23:00:00,1.892,443685.85,2025-02-14 04:00:00,1.935,453769.62,234506.26211549,10083.7693,2.2727,MA5首次上升止损,5,否
33,QNTUSDT,2025-02-14 04:00:00,92.4,449473.7,2025-02-14 04:00:00,91.938,447226.33,4864.433953,-2247.3685,-0.5,阶段低点止损,0,否
34,RADUSDT,2025-02-14 05:00:00,0.891,446562.88,2025-02-14 06:00:00,0.8925,447314.67,501192.90764913,751.7894,0.1684,MA5首次上升止损,1,否
35,NOTUSDT,2025-02-14 08:00:00,0.003104,447342.21,2025-02-14 08:00:00,0.00307654,443384.73,144117979.00618663,-3957.4797,-0.8847,阶段低点止损,0,否
36,QNTUSDT,2025-02-14 07:00:00,91.2,446901.19,2025-02-14 12:00:00,92.0,450821.37,4900.23230184,3920.1858,0.8772,MA5首次上升止损,5,否
37,DEGOUSDT,2025-02-14 09:00:00,1.894,445561.34,2025-02-14 12:00:00,1.9065,448501.95,235248.86006791,2940.6108,0.66,MA5首次上升止损,3,否
38,BIFIUSDT,2025-02-14 15:00:00,248.7,448030.78,2025-02-14 18:00:00,250.85,451903.98,1801.49085892,3873.2053,0.8645,MA5首次上升止损,3,否
39,ADAUSDT,2025-02-14 14:00:00,0.7981,448207.68,2025-02-14 19:00:00,0.80905,454357.13,561593.38244331,6149.4475,1.372,MA5首次上升止损,5,否
40,THEUSDT,2025-02-14 19:00:00,0.6919,453488.66,2025-02-14 20:00:00,0.6872465,450438.64,655425.14704928,-3050.0209,-0.6726,阶段低点止损,1,否
41,PYRUSDT,2025-02-14 20:00:00,2.063,454222.07,2025-02-14 21:00:00,2.04373,449979.29,220175.50801671,-4242.782,-0.9341,阶段低点止损,1,否
42,PUNDIXUSDT,2025-02-14 21:00:00,0.3717,450057.34,2025-02-14 23:00:00,0.37745,457019.48,1210808.00696607,6962.146,1.5469,MA5首次上升止损,2,否
43,NEXOUSDT,2025-02-15 07:00:00,1.368,452569.08,2025-02-15 11:00:00,1.35917,449647.89,330825.34847328,-2921.1878,-0.6455,阶段低点止损,4,否
44,COMPUSDT,2025-02-15 12:00:00,57.65,458830.26,2025-02-15 14:00:00,57.20255,455269.06,7958.89442525,-3561.2073,-0.7761,阶段低点止损,2,否
45,BNTUSDT,2025-02-15 15:00:00,0.5323,455888.91,2025-02-15 17:00:00,0.5284445,452586.86,856451.07549817,-3302.0471,-0.7243,阶段低点止损,2,否
46,AVAXUSDT,2025-02-15 18:00:00,26.23,458794.95,2025-02-15 19:00:00,26.069,455978.86,17491.22933557,-2816.0879,-0.6138,阶段低点止损,1,否
